,comedy
518,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws."
519,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.
520,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.
521,Plot unknown. Fourth installment of the 'Despicable Me' franchise.
522,"Ron Stallworth, an African American police officer from Colorado Springs, Colorado, successfully infiltrates the local Ku Klux Klan branch aided by a Jewish surrogate who eventually becomes its leader. Based on actual events."
523,Four Latina maids with ambition and dreams of their own work for the rich and famous in Beverly Hills.
524,Brothers Brian and Joe Hackett attempt to run an airline on the New England island of Nantucket while surrounded by their various wacky friends and employees.
525,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited she transforms into a giant red panda."
526,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
527,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
528,"A series centered around a group of football players and their families, friends and handlers."
529,"In Camargue, four boys in dire straits find themselves selling their bodies for money. Unexperienced but helped by their mischievous little sister Charly, they start an Escort Boys business."
530,Detective Axel Foley finds himself drawn back to the opulent environs of Beverly Hills to investigate the untimely demise of a long-time confidant.
531,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.
532,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies."
533,A group of friends becomes motivated to live fuller lives after the unexpected death of a close friend.
534,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day."
535,"Working as security guards, Craig and Day-Day run into the thief who stole their Christmas presents."
536,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated."
537,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
538,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
539,"Into a world of magicians is born Mash, a young boy who lacks magic but is the strongest person around. His existence and destiny will change his world."
540,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.
541,Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.
542,"A group of good-hearted, but incompetent misfits enter the police academy, but the instructors there are not going to put up with their pranks."
543,"This 10-episode, one-hour drama follows a group of flawed family members who reluctantly work together at their father's law firm in downtown Vancouver."
544,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
545,"Unpopular schoolgirl Jenna Rink makes an unusual wish on her birthday. Miraculously, her wish comes true and the 13-year-old Jenna wakes up the next day as a 30-year-old woman."
546,"Garfield is about to go on a wild outdoor adventure. After an unexpected reunion with his long-lost father - the cat Vic - Garfield and Odie are forced to abandon their pampered life to join Vic in a hilarious, high-stakes heist."
547,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
548,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets."
549,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
550,A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
551,"New York sportswriter Mack has spent years devising successful hook-up ""plays"" with her friends, but when she unexpectedly falls for one of her targets, she must learn what it takes to go from simply scoring to playing for keeps"
552,"A coming-of-age story about a shy young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas."
553,The misadventures of a Korean-Canadian family running a convenience store.
554,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord."
555,The staff of a New York City taxicab company go about their job while they dream of greater things.
556,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
557,"After the death of the family's patriarch, Toula attempts to locate her father's childhood friends in Greece for a family reunion."
558,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
559,Two slacker friends try to promote their public-access cable show.
560,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend."
561,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
562,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.
563,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
564,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
565,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
566,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
567,"A dim-witted teenager and his new coworker try to save the old burger joint they work for from failing after the opening of a brand new burger restaurant across the street, which's planning to put them out of business."
568,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child."
569,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
570,"Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving."
571,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again."
572,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
573,"Rosie and Alex have been best friends since they were 5, so they couldn't possibly be right for one another...or could they? When it comes to love, life and making the right choices, these two are their own worst enemies."
574,"A spin-off of the medical drama ""Grey's Anatomy"" centering on the life of neonatal surgeon Addison Montgomery."
575,"Zak, a man with down syndrome, runs away from a residential nursing home to pursue his dream of becoming a wrestler. Later, he meets with an outlaw who becomes his friend and coach."
576,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday."
577,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered."
578,"A Kansas family relocates to Beverly Hills, where their two children adapt to the infamous social drama of West Beverly Hills High."
579,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
580,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days."
581,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
582,"A medical resident finds that being a zombie has its perks, which she uses to assist the police."
583,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.
584,"When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers."
585,"The investigations of Sister Boniface of St Vincent's Convent - nun, moped rider, wine maker and part-time forensic scientist."
586,"It follows Ana, an aspiring art intern who is invited on a last-minute work trip to London by her super boss, meeting the handsome and wealthy William on the plane."
587,"Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down."
588,The quirky cases of a former model and a smart aleck detective who manage a private detective agency.
589,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
590,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
591,"Adam Jones is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars."
592,A developer attempts to sabotage the safety record of a ski resort.
593,A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.
594,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again."
595,"An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection."
596,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
597,"In this satirical comedy, a zany nobleman navigates through family feuds and clashes with peasants in his quest to become Poland's most famous figure."
598,A composer who suffers writer's block rediscovers his passion after an adventurous one-night stand.
599,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped."
600,A high-school senior drives cross-country with his best friends to hook up with a babe he met online.
601,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
602,"Three retired police officers are drafted in to solve cold cases, with a touch of comedy and drama"
603,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
604,"Sassy sitcom centering on radio and television personality Martin Payne. Series focuses on his romantic relationship with girlfriend Gina, her best friend Pam and escapades with best friends Tommy and Cole."
605,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.
606,"Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother."
607,Follows the new journey of four best friends as they take their book club to Italy for the fun girls trip they never had.
608,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."
609,A family comedy told through the separate stories of different family members.
610,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.
611,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
612,"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
613,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.
614,An aging Manhattan socialite existing on the last of her inheritance moves to a small Paris apartment with her son and cat.
615,"A U.S. Marshal becomes the sheriff of Eureka, a remote, cozy little Northwestern town where the best minds in the US have secretly been tucked away to build futuristic inventions for the government which often go disastrously wrong."
616,"Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt."
617,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
618,"Sophie and her close-knit group of friends are in the midst of figuring out who they are, what they want out of life, and how to fall in love in the age of dating apps and limitless options."
619,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
620,"Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
621,"Chronicles liberal ex-hippies Steven and Elyse Keaton, their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew."
622,"A spoof of Robin Hood in general, and Robin Hood: Prince of Thieves (1991) in particular."
623,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
624,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.
625,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
626,"Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures."
627,"Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow, she tries to navigate through the rest of her sixteenth year."
628,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
629,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
630,The head of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.
631,"Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd."
632,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
633,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
634,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
635,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
636,A disillusioned college graduate finds himself torn between his older lover and her daughter.
637,Retired CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.
638,A couple on a backpacking trip discovers a magical town in which everyone acts like they're in a classic musical.
639,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
640,"Frances Mayes, a 35-year-old San Francisco writer, gets a divorce that leaves her with terminal writer's block and depression. Later, she decides to buy a house in Tuscany in order to change her life."
641,"A comedy set in the offices of Heaven Inc. When God plans to destroy the Earth, two low-level angels must convince their boss to save humanity. They bet him they can pull off their most impossible miracle yet: help two humans fall in love."
642,"The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse."
643,"All Jason and Nikki want is a baby, but it's the one thing they just can't have. So, they decide to adopt. With their dysfunctional friends, screwball family and chaotic lives will the adoption panel think they're ready to be parents?"
644,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
645,A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.
646,"Ashley and Gordon, two single-ish, complex humans who are brought together by a car accident and an injured dog. Flawed, funny people choosing each other and being brave enough to show their true selves and navigate life together."
647,"After his latest invention fails, Dex is welcomed back by Ed to his old job at Good Burger, which is once again put in jeopardy when Dex devises a plan to get back on his feet."
648,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate."
649,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong."
650,Three girls become mermaids after a mysterious island transforms them and gives them special powers.
651,The hit Broadway musical about a small-town pie baker with big dreams gets the silver screen treatment.
652,A newly-engaged couple have a breakdown in an isolated area and must seek shelter at the bizarre residence of Dr. Frank-n-Furter.
653,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
654,A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.
655,"Three 6th-grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party."
656,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
657,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
658,"After their father passes away, four grown siblings are forced to return to their childhood home and live under the same roof for a week, along with their over-sharing mother and an assortment of spouses, exes, and might-have-beens."
659,A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.
660,"Kamala, a superhero fan with an imagination--particularly when it comes to Captain Marvel--feels like she doesn't fit in at school and sometimes even at home, that is until she gets superpowers like the heroes she admires."
661,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.
662,A witch married to an ordinary man cannot resist using her magic powers to solve the problems her family faces.
663,A young woman's obsession with a pop star takes a dark turn.
664,"Follows a woman who reluctantly becomes Dear Sugar; an anonymous and revered advice columnist, even when her own life is falling apart."
665,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.
666,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
667,"Mike Flaherty, the Deputy Mayor of New York City, and his team of half-wits must constantly save the Mayor from embarrassment and the media. Mike is later succeeded by Charlie Crawford."
668,A couple meets at an Overeaters' Anonymous meeting.
669,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.
670,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.
671,"""Sparkling Watermelon"" will tell the story of a boy living a double life between a model student and a band member who gets to time slip and meets his 18-year-old father. The two will build friendships there."
672,"It follows three friends who live together. When they realize that they don't like their life trajectory, they set off to find a gold treasure that is rumored to be buried in the nearby mountain."
673,Chris from a girls' boarding school loves Jim from a nearby boys' boarding school. Jordan also wants Jim and plays dirty. Jim and two friends visit the girls' school posing as girls.
674,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
675,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.
676,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."
677,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
678,"A group of aliens is sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun."
679,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
680,"A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion."
681,A widower must look after his precocious daughter and rebuild his life and career after he's sidelined by an unexpected tragedy and a personal blowup.
682,Prison inmates form a football team to challenge the prison guards.
683,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia."
684,A divorced couple teams up and travels to Bali to stop their daughter from making the same mistake they think they made 25 years ago.
685,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
686,"Mean Girls cast reunited on October 3rd to celebrate the movie longevity and funny moments on set, and encourage people to vote for the US elections."
687,"Marvin Flute, who might be the greatest detective ever, has one mystery he still can't crack: his family. He will follow every lead he's got to redeem himself with the ex-wife he never stopped loving."
688,Plot under wraps.
689,A rough-and-tumble trucker and his side kick face off with an ancient sorcerer in a supernatural battle beneath Chinatown.
690,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
691,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human."
692,"Mama's Family originated with Thelma ""Mama"" Harper, and her younger sister Fran living together in Mama's house."
693,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek the Hidden World, a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
694,"A talented P.I. agrees to work as the in-house investigator for his mother, who is reeling from the recent dissolution of her marriage."
695,"A down-on-his-luck former high school basketball coach will do anything to win, which in this case means leading his team of men to don wigs and brutally dominate in multiple women's sports."
696,"Georgie, a dreamy 12-year-old girl, lives happily alone in her London flat, filling it with magic. Suddenly, her estranged father turns up and forces her to confront reality."
697,"Based on the Broadway hit about the life and times of burlesque dancer Gypsy Rose Lee and her aggressive stage mother, Mama Rose."
698,"Reba McEntire stars as the titular character in this smash sitcom about a single mom of three, navigating life in a Houston suburb."
699,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
700,The misadventures of a large family united when a widower and a widow marry.
701,A babysitter must battle her way through the big city after being stranded there with the kids she's looking after.
702,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
703,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God."
704,"Eric Camden, a minister, and his wife Annie deal with the drama of having seven children, ranging from toddlers to adults with families of their own."
705,Three petty felons have a documentary made about their life in a trailer park.
706,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.
707,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
708,Comedy series about a teacher who is a bigger kid than the kids he teaches.
709,"At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count."
710,"A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse."
711,Seven strangers from different walks of life forced together to complete a community payback sentence in Bristol.
712,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
713,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
714,The Griswold family's plans for a big family Christmas predictably turn into a big disaster.
715,"An irreverent look at what goes on behind the scenes in Reno, Nevada's Sheriff's Department."
716,A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.
717,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.
718,"The Winslow family deals with various misadventures, many of them caused by their pesky next-door neighbor, ultra-nerd Steve Urkel."
719,"Helen signs up for a wilderness survival course, a year after getting divorced. She discovers through this experience that sometimes, you have to get really lost in order to find yourself."
720,"When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival."
721,"New Yorker and new doctor Zoe Hart accepts an offer from a stranger, Dr. Harley Wilkes, to work in his medical practice in Bluebell, Alabama. She arrives to find that he has died and left half the practice to her in his will."
722,"A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
723,A Taiwanese family makes their way in America during the 1990s.
724,A group of young offenders doing community service gets struck by lightning during a storm and start to develop superpowers.
725,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
726,"A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage."
727,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
728,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen."
729,Seven men and women are stranded on an uncharted island following a torrential storm.
730,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together."
731,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
732,"Many years after he turned his back on his hometown, a burned-out major league ballplayer returns to teach Physical Education at his old middle school."
733,The inmates of a German World War II prisoner of war camp conduct an espionage and sabotage campaign right under the noses of their warders.
734,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.
735,Two members of a social club in 1950s Brooklyn have more interest in romance than in rumbles.
736,All hell breaks loose when the Byrnes family meets the Focker family for the first time.
737,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
738,"Follows a flawed family of humans, gods, and monsters that tries to run one of the world's first cities without killing each other."
739,"Fanny, born into a poor family, is sent away to live with wealthy uncle Sir Thomas, his wife and their four children, where she'll be brought up for a proper introduction to society."
740,"A 14-year-old Persian boy desperately tries to fit in, cope with his mother's dating life, and figure out his cultural identity."
741,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
742,"Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship."
743,"Obsessed with Pride and Prejudice (1995), a woman travels to a Jane Austen theme park in search for her perfect gentleman."
744,"A family comedy narrated by Katie, a strong-willed mother, raising her flawed family in a wealthy town filled with perfect wives and their perfect offspring."
745,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.
746,"After his girlfriend ditches him for a boorish ski jock, Lane decides that suicide is the only answer. However, his increasingly inept attempts bring him only more agony and embarrassment. Filled with the wildest teen nightmares."
747,The son of a Colorado rancher returns home from a semi-pro football career to run the family business.
748,"Follows the complicated life of intelligence officer John Tavner, whose latest assignment--to prevent Iran from going nuclear--requires him to forgo all safety nets and assume a perilous, non-official cover."
749,Two spies are recruited by an intelligence agency. They pose as a married couple Mr. and Mrs. Smith when they are on their missions.
750,The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.
751,Former childhood best friends reconnect as adults and try to get past the rift that led to their falling out.
752,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
753,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
754,Five siblings are left alone all summer when their mom leaves town and the evil babysitter bites the dust.
755,"Two strangers are drawn to a mysterious pharmaceutical trial for a drug that they're assured will, with no complications or side-effects whatsoever, permanently solve all of their problems. Things do not go as planned."
756,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.
757,"Looking for a part-time job, 13-year-old Henry Hart lands the post of sidekick of superhero Captain Man, but he must keep this a secret from his family and friends."
758,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined."
759,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
760,Teela joins forces with He-Man and the other Masters in their quest to save Eternia from the grip of darkness.
761,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild."
762,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.
763,Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.
764,A group of teenagers in California's central valley spend one final night after their 1962 high school graduation cruising the strip with their buddies before they pursue their varying goals.
765,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
766,Kevin Arnold recalls growing up during the late 60s and early 70s; the turbulent social times make the transition from child to adult unusually interesting.
767,"On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night."
768,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners.
769,"The crew of Los Angeles County Fire Department Station 51, particularly the paramedic team, and Rampart Hospital respond to emergencies in their operating area."
770,A pathological liar-lawyer finds his career turned upside down when he inexplicably cannot physically lie for 24 whole hours.
771,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
772,A fool for love becomes an accidental celebrity only to lose it all.
773,"Almost two years after a virus wiped out most of the human race, Phil Miller only wishes for some company, but soon gets more than he bargained for when that company shows up in the form of other survivors."
774,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.
775,"When an occupying alien species' bureaucratic rule and advanced technology leaves most of Earth impoverished and unemployed, two teenagers hatch a risky plan to ensure their families' futures."
776,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they're swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.
777,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
778,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.
