,animation
491,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.
492,"A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history."
493,"After discovering that he's the son of Satan, a young man must join the True Cross Academy in order to master his abilities and defeat Satan himself."
494,"Tired of being locked in a reptile house where humans gawk at them like they're monsters, a group of Australia's deadliest creatures plot a daring escape from their zoo to the Outback."
495,"Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things."
496,"Hiiragi Utena, a normal girl, is very passionate about magical girls; after being misled into joining an evil organization, she learns that there's also a twisted side to said passion."
497,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska."
498,"Craig of the Creek follows a young boy, Craig, and his two friends, Kelsey and JP, as they go on adventures within a world of untamed, kid-dominated wilderness in the creek."
499,A young boy and a group of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.
500,"Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji."
501,The cartoon misadventures of four babies and their snotty older cousin as they face the things in life they don't understand.
502,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers."""
503,An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.
504,"Keyaru is a healing magician who is sexually abused repeatedly by others. Using his healing magic, he goes back four years into the past to get revenge on the ones who abused him."
505,"In a world where dragons rule sky, sea, and land, dragon hunter Ragna joins forces with the mysterious Crimson to fight the dragons at any cost and destroy the dragon monarchs."
506,"Fritz drops out of college, starts a riot in Harlem and hits the road with an ex-girlfriend before getting mixed up with domestic terrorists."
507,"Follows a group of military super humans composed by a human leader, a werewolf, a vampire, Frankenstein's monster and a gorgon."
508,Two very different people - an academically successful schoolgirl and a quiet loser schoolboy - meet and develop a friendship.
509,A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.
510,An orphan boy and his magical dragon come to town with his abusive adoptive parents in pursuit.
511,"A high school student discovers one of his classmates, Sakura Yamauchi, is suffering from a terminal illness. This secret brings the two together, as she lives out her final moments."
512,"When the world's best spy is turned into a pigeon, he must rely on his nerdy tech officer to save the world."
513,"A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins."
514,A beautiful unicorn sets out to learn if she truly is the last of her kind in this sparkling animated musical.
515,"After 13-year-old super-genius Lunella accidentally brings ten-ton T-Rex, Devil Dinosaur into present-day New York City via a time vortex, the duo works together to protect the city's Lower East Side from danger."
516,"For the first time ever, Uta - the most beloved singer in the world - will reveal herself to the world at a live concert. The voice that the whole world has been waiting for is about to resound."
517,"A parody of past religious-geared animated shows starring Orel, an optimistic God-fearing young boy in a world of cynicism."
518,"Anna, a shy 12-year-old girl, is sent to spend time with her aunt and uncle who live in the countryside, where she meets Marnie. The two become best friends. But Anna gradually discovers that Marnie is not quite who she appears to be."
519,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice."
520,"The Republic of San Magnolia is at war with its neighboring country, the Empire of Giad. Both sides use unmanned drones to conduct a ""war without casualties"". The story follows Lena as she commands a squad of drones called the 86."
521,A workplace comedy set in the world of the monsters from Big Mouth.
522,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.
523,"Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer."
524,"The vampire Alucard, his master Sir Integra Fairbrook Wingates Hellsing, and his newly sired ward Seras Victoria, try to protect England from a war-crazed SS-Major who seeks to start an eternal war with his vampire army."
525,Follows Johnny Puff and his friends as they embark on a secret mission to save Taigasville from the evil plans of Otto von Walrus.
526,"Ippo, a teenage boy with a pure heart and unrelenting determination, discovers a passion for boxing after veteran fighter Takamura saves him from bullies."
527,High school students are overwhelmed with the start of the zombie apocalypse.
528,"A cowardly boy, who buries himself in accident statistics, enters a library to escape a storm, only to be transformed into an animated illustration by the Pagemaster. He has to work through obstacles from classic books to return to real-life."
529,"The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land."
530,"Follows a boy, a mole, a fox and a horse, as they create an unexpected friendship and travel together in the boy's search for home."
531,"The seemingly normal life of Sakuta Azusagawa, a high school student changes drastically when he meets a wild bunny girl that seems to be invisible to others."
532,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.
533,"An unhappy young woman from an abusive family is married off to a fearsome and chilly army commander. But the two learn more about each other, love may have a chance."
534,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel."
535,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang."
536,"When a sinkhole in front of Bob's Burgers threatens the Belchers' plans for a successful summer, Bob and Linda try to keep their business going, while the kids attempt to save the restaurant by solving a mystery."
537,A group of dated appliances embark on a journey to the city to find their master after being abandoned in a cabin in the woods.
538,"While on a school field trip, two friends travel through time and meet Martin Luther King Jr. at different points in his life."
539,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
540,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this perfect system, she questions both Sibyl and herself."
541,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City."
542,"Simon and Kamina, brothers in arms, take upon themselves to venture beyond the borders of their world, reality and imagination. Venturing further and further into a hidden truth that has kept humanity prisoners for millennia."
543,"Damian Wayne is left alone at home while his father, Batman, goes out to help the Justice League on Christmas Eve, but ends up discovering a plot in Gotham to steal Christmas and take the chance to be a superhero like Batman."
544,"Yugi Moto solves an Ancient Egyptian Puzzle and brings forth a dark and powerful alter ego. Whenever he and his friends are threatened by evil in Duel Monster Card Game, this alter ego breaks out to save them."
545,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.
546,"Clancy, a spacecaster with a malfunctioning multiverse simulator, leaves the comfort of his home to interview beings living in dying worlds."
547,"Historical figures who have been cloned and placed back in high school, including Abraham Lincoln, Cleopatra, Joan of Arc, John F. Kennedy and more, as they face the trials of normal teenage life."
548,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
549,"Nagi, a high school girl in the real world, and Tyme, a boy who lives in another world where dragonriders hear the cries of dragons and communicate with them."
550,"A canine angel, Charlie, sneaks back to earth from heaven but ends up befriending an orphan girl who can speak to animals. In the process, Charlie learns that friendship is the most heavenly gift of all."
551,"Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages."
552,"Rishe is already on her seventh time around being reborn and has had all kinds of excitement in her previous lives. But to savor the high life, she first has to marry the handsome prince, the same one who happens to be her murderer."
553,"The off-the-wall, day-to-day life of three friends who have exactly the same name."
554,"Every 1000 years, the Gods' Council assemble to decide the fate of humanity. After 7 million years of human history, the gods come to the decision that humans are irredeemable and must be extinct."
555,A homebody hobbit in Middle Earth gets talked into joining a quest with a group of dwarves to recover their treasure from a dragon.
556,"A group of schoolgirls discover they are incarnations of super-powered alien princesses, and use their abilities to defend the earth."
557,The continuing adventures of a quartet of turtle superheroes.
558,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.
559,The story of a young deer growing up in the forest.
560,"While emigrating to the United States, a young Russian mouse gets separated from his family and must relocate them while trying to survive in a new country."
561,"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren."
562,A high school cheerleader and her clumsy best friend balance their duties as global crime-fighters with the typical challenges of adolescence.
563,"Two ostensibly opposite women, both named Nana, become roommates in Tokyo and grow inseparable. However, their relationship is jeopardized as the harsh realities of adult life take shape."
564,"Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan."
565,Sofia is a little girl with a commoner's background until her mom marries the king and suddenly she is royalty.
566,"Various people, especially two rising commanders, cope with a massive continual space conflict between two interstellar nations."
567,A rebellious rabbit tries to sneak into a farmer's vegetable garden.
568,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
569,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
570,"When the farmer's away, all the animals play, and sing, and dance. Eventually, though, someone has to step in and run things, a responsibility that ends up going to Otis, a carefree cow."
571,"Boog, a domesticated 900lb. Grizzly bear, finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters."
572,"Clark Kent builds his secret Superman identity and embraces his role as the hero of Metropolis, while sharing adventures and falling in love with Lois, a star investigative journalist, who also takes Jimmy Olsen under her wing."
573,"In this special prequel episode, Samantha 'Atom Eve' Wilkins discovers her superpowers as a young girl - and must come to terms with her own sinister origins as she discovers a family she never knew she had."
574,"Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?"
575,"It follows three mummies as they end up in present-day London and embark on a journey in search of an old ring belonging to the Royal Family, stolen by the ambitious archaeologist Lord Carnaby."
576,"In the series, many legendary realms have suddenly combined into one, but their union is unstable. A Spinjitzu Ninja Master must train a new generation of heroes to help find Elemental Dragons who can save the planet before the forces of evil use the same dragon energy to destroy this new world."
577,"A story set in the ACME warehouse, the manufacturer of anything and everything used by the Looney Tunes characters."
578,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army."
579,A smart and cynical girl goes through teenage life as a proud outsider in a world of mainly idiotic adolescents and condescending adults.
580,"After receiving an order to be replaced in Operation Strix, Loid decides to help Anya win a cooking competition at Eden Academy by making the principal's favorite meal in order to prevent his replacement."
581,"Plot unknown. Upcoming Walt Disney Animation Studios film, in co-production with Walt Disney Pictures."
582,The flightless birds and scheming green pigs take their feud to the next level.
583,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera House."
584,"Comic tales of a group of good friends, four boys and two girls, during breaks in primary school, as they grow up, relate to each other, and have brushes with authority."
585,"While fighting foes across Ninjago City and beyond, the ninja embark on new quests and gain newfound allies as the power of their friendship is tested."
586,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.
587,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank."
588,A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.
589,Villainous Vector must figure out how to get off the moon and return to Earth.
590,"A timid old man is summoned by his chairman to become the manager of Tokita Ohma, a highly skilled gladiator who only cares about fighting and winning in the Kengan matches."
591,"To protect her from a sea witch, Ariel's daughter is not allowed in the ocean; but when she becomes 12, she runs away to an adventure under the sea."
592,"Davey Stone, an alcoholic with a criminal record, is sentenced to community service under the supervision of an elderly referee. Davey is then faced with trying to reform and abandon his bad habits."
593,A series of shorts featuring the seedling Groot along with several new and unusual characters.
594,"Year 1992. The United States has been renamed Eden, a technocracy dominated by corruption. Super soldier Dolph Laserhawk is locked up in the Supermaxx maximum security prison. He leads a team of rebels under the orders of a shady director."
595,The continuing adventures of the staff of the ghost removal service.
596,A vagabond swordsman is aided by a kunoichi and a spy in battling a demonic clan of killers - led by a ghost from his past - who are bent on overthrowing the Tokugawa Shogunate.
597,It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.
598,"A group of shipwrecked characters attempt to escape from an island inhabited by horrifying monsters, including the giant primate who rules the island: Kong."
599,"An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
600,"Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired""."
601,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny."
602,Reimagining of the Batman mythology.
603,"Told in three interconnected segments, Takaki tells the story of his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love."
604,"Kion, the son of Simba, leads his friends known as the Lion Guard to protect the Pride Lands."
605,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined."
606,"A terrorist explosion releases a deadly virus on the masses, and it's up to the bounty-hunting Bebop crew to catch the cold-blooded culprit."
607,The Looney Tunes search for a man's missing father and the mythical Blue Monkey diamond.
608,"Based on the books by Marc Brown, these are the adventures of Arthur, an 8-year-old aardvark, and his family and friends as they grow up and learn how to be good neighbors to one another."
609,The new teacher at a magical academy doesn't seem to care about anything until a threat to the school shows a whole new side of him.
610,A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.
611,"When a young owl is abducted by an evil Owl army, he must escape with new-found friends and seek the legendary Guardians to stop the menace."
612,"When the world is threatened by an ancient evil, the four adolescent turtles must reunite and overcome their faults in order to stand against it."
613,"The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing."
614,"In a world of science vs. magic, Adonis has sworn revenge on the human race for taking away his beloved mentor. What lies at the end of his destructive path?"
615,The amnesiac reptilian-headed Caiman works together with his friend Nikaido in order to recover his memories and survive in a strange and violent world.
616,An orphaned boy is told by a fortune teller that an elephant will help him find his lost sister.
617,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
618,The most funny and dangerous reality cartoon show Total Drama is back with even more dangerous challenges.
619,"On a post-apocalyptic Earth, a wizard and his faire folk comrades fight an evil wizard who's using technology in his bid for conquest."
620,The further adventures of Hiccup and his friends on the Island of Berk.
621,"In a future world where humanity has been driven to endangerment by giant beasts, a strike force is assembled to destroy the monsters and save the world."
622,"The most powerful man in the universe, He-Man, goes against the evil forces of Skeletor to save the planet Eternia and to protect the secrets of Castle Grayskull."
623,Batman is wrongly implicated in a series of murders of mob bosses actually committed by a new vigilante assassin.
624,"After being dumped by his girlfriend, a college student enlists a dating service to ""rent"" a girlfriend who, unbeknownst to him, happens to be both a fellow student and his neighbor."
625,"Ten-year-old Arthur, in a bid to save his grandfather's house from being demolished, goes looking for some much-fabled hidden treasure in the land of the Minimoys, tiny people living in harmony with nature."
626,"Tsubasa, a Tokyo schoolboy, gets transferred to the town of Hokkaido in northern Japan, and meets beautiful girls there."
627,"Possum brothers Crash and Eddie set out to find a place of their own. Together with the one-eyed weasel, Buck Wild, they face the dinosaurs who inhabit the Lost World."
628,"Animated MTV series about two teenage heavy-metal music fans who occasionally do idiotic things because they're bored. For them, everything is ""cool"" or ""sucks."""
629,An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.
630,A bachelor goose must form a bond with two lost ducklings as they journey south.
631,"The adventures of the Family Guy (1999) neighbor and former deli owner, Cleveland Brown."
632,"The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created."
633,A 14-year-old receives ghost powers and uses them to save the world.
634,"After the Republic's victory on Christophsis, Anakin and his new apprentice, Ahsoka Tano, must rescue the kidnapped son of Jabba the Hutt. Political intrigue complicates their mission."
635,"The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship."
636,Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.
637,"A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his."
638,"An American family moves into Canterville Chase, a stately countryside mansion that has been haunted by the ghost of Sir Simon De Canterville for 300 years."
639,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."
640,"A pampered dog named Trouble must learn to live in the real world, while trying to escape from his former owner's greedy children."
641,"An animated science fiction anthology from the visionary anime director, Katsuhiro Otomo."
642,"Tanjiro needs to bring a definitive end to Upper Rank Six. After the dust settles, Tanjiro goes with his sister Nezuko to the Swordsmith Village in search of a new sword."
643,"When a diabolical pirate above the sea steals the secret Krabby Patty formula, SpongeBob and his friends team up in order to get it back."
644,"Follow Po, who partners up with a no-nonsense English knight named Wandering Blade, to find a collection of four powerful weapons before a mysterious pair of weasels do, and save the world from destruction."
645,"During the dawn of the magical era, Lü Shu, a metahuman, experiences the changes in himself, his country and the world."
646,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness."
647,"The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak."
648,"At Alfea College, fairy warriors from all over the universe study and train to improve their magic powers. Bloom, a girl from Earth, joins them after discovering her own special abilities."
649,Follow Survivor and protagonist Helena Walker after her initial awakening on The Island.
650,The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.
651,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
652,"When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him the greatest hero of his time."
653,"A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family."
654,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.
655,"Hachimitsu Academy, once an all-girls school, has become co-ed, and teen Kiyoshi is one of five boys to enroll. When he is caught peeping, Kiyoshi is sent to the schools prison, where his punishment is carried out."
656,Blue is a puppy who puts her paw prints on three clues. Steve or Joe has to deduce the clues (with the help of off-screen children) to figure out what Blue wants to do.
657,"An animated adventure in which the free-spirited UglyDolls confront what it means to be different, struggle with a desire to be loved, and ultimately discover who you truly are is what matters most."
658,Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.
659,The misadventures of a boy genius and his annoying sister.
660,"Based on the classic book by Margery Williams, ""The Velveteen Rabbit"" celebrates the magic of unconditional love. When William receives a new favorite toy for Christmas, he discovers a lifelong friend and unlocks a world of magic."
661,"Liko, whose partner Pokémon is Sprigatito, and Roy will encounter many characters during their journey, including a group called the Rising Volt Tacklers."
662,"Follow Red Guy, Yellow Guy, and Green Duck as they learn about family, electricity, and death. Beware the strange and dangerous twists that come their way as their seemingly-safe house reveals that they live in an actual nightmare."
663,A collection of animated short stories that takes place inside The Boys universe.
664,"Lackadaisy (aka Lackadaisy Cats) is based on the webcomic created by American artist, Tracy J. Butler. Set in a Prohibition-era St. Louis with a population of anthropomorphic cats."
665,A 15-year-old boy and 27-year-old woman find an unlikely friendship one rainy day in the Shinjuku Gyoen National Garden.
666,"This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads, moles, and beetles before she can proceed with her courtship with her dream lover, Prince Cornelius."
667,"Due to the death of her childhood friend, Shinpei returns to her native home, but beneath the surface this island seems to hold some secrets."
668,A demon mage reincarnates into the body of his descendant hoping to find an era where he can have some peace and quiet. He ends up going to a school run by his significantly weaker descendants.
669,Seven chosen mages and their summoned heroic spirits fight against each other to try and win the Holy Grail: a magical device that can grant any wish.
670,"On a post-apocalyptic exoplanet, worker drones struggle to survive by hiding from rogue robots called Murder Drones."
671,"A story about the most popular racing event in the galaxy, the Redline, and the various racers who compete in it."
672,"Dragons have now become a legend for the world. After the occurrence of a crack in the surface of the Earth, scientists go to study it. Soon a group of kids discover the dragons are hiding and they decide to hide them."
673,Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.
674,An eight-year-old boy genius and his friends must rescue their parents after the adults are abducted by aliens.
675,"Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Superman mentors her. Meanwhile, she must contend with a mysterious group called the Dark Circle who searches for a powerful weapon held in the Academy's vault."
676,"In a world of anthropomorphic animals, a reclusive wolf's complicated relationship with a kindly rabbit is tested by a classmate's murder, a charismatic deer's influence, and his own burgeoning predatory instincts."
677,A streetwise cat and his gang of rats come up with the perfect money making scheme.
678,An ode to the body's five senses delivered by a man with little time left to enjoy them.
679,"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy. A parody with a twist."
680,Follows Scooby-Doo and Mystery Inc. as they are looking into the disappearance of the Justice League.
681,"The people of the kingdom look down on the young Prince Bojji, who can neither hear nor speak. They call him ""The Useless Prince"" while jeering at his supposed foolishness."
682,Two opposing factions of transforming alien robots engage in a battle that has the fate of Earth in the balance.
683,"In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures."
684,"Rabbit, a country-born trickster, takes over the organized crime racket in Harlem, facing opposition from the institutionalized racism of the Mafia and corrupt police."
685,"Follows Gretel and her pet Hamster after receiving new abilities. Now, protective older brother Kevin must figure out how to work with both Gretel and her pet to protect their city from mysterious dangers."
686,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies."
687,"The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear."
688,"In the era known as Bakumatsu, there was an ishin assassin known as Hitokiri Battousai; eleven years later he returned as a wandering swordsman, Himura Kenshin."
689,An ancient evil awakens and only Bruce Wayne can save 1920s Gotham City.
690,"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons."
691,Spider-Man battles evil with a new team of teen colleagues and training from S.H.I.E.L.D.
692,"The everyday life of Arnold, a fourth-grader in a nameless city that resembles Brooklyn, New York, who lives in a multi-racial boarding house with his grandparents and a motley assortment of friends and neighbors."
693,"Set between Walt Disney Animation Studios' ""Tangled"" and its short film ""Tangled Ever After,"" this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona."
694,"After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to the Lost City of Atlantic City to bring Gary home."
695,A team of humanoid cats fight evil in their adopted home world.
696,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose."
697,"An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man."
698,"Follows daft but lovable Mignon, a mechanic moonlighting as a boxer in an illegal arena, and the lengths he goes to in his loving devotion to Oh Young-One, the arena's resident doctor, who himself harbors a dark secret."
699,Elvis trades in his jumpsuit for a jetpack when he joins a secret government spy program to help battle the dark forces that threaten the country.
700,"Goku is settled with his family and is living in peace. Unfortunately, his peaceful time is momentary as a visitor crashes into the planet claiming to be his brother."
701,"Set in the 23rd century on Mars, the plot follows the investigation on a murder case carried out by the couple formed by private investigator Aline Ruby and her android companion Carlos Rivera."
702,"While preparing for their wedding, Shang and Mulan are suddenly sent off on a secret mission. Mushu starts to meddle, and a surprise attack by Mongolians doesn't help either."
703,A boy and his beloved imaginary friend are able to stay together at an orphanage of sorts for imaginary friends that children have outgrown to be adopted by new children.
704,The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.
705,"A seven-foot-tall bear named Bear lives in The Big Blue House, with his friends as they teach a variety of subjects and lessons."
706,"After her boyfriend breaks up with her for another girl, Akane Kinoshita decides she is going to make him regret his decision. Unexpectedly, however, she meets a socially awkward gamer who might just solve all of her problems."
707,"Tomo is a tomboy who has been in love with her childhood friend Junichiro, and strives to make him see her as a romantic candidate."
708,A young girl arrives at a school of superhumans to find out the truth behind her father's murder.
709,"While protecting a signatory to a peace treaty between their peoples, a male human and a female demon discover that their mutual attraction may be the key to unifying their worlds."
710,"Ren, a psychotic Chihuahua, and Stimpson J. Cat, a dimwitted Manx cat who goes by the nickname Stimpy, have a host of unusual adventures."
711,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.
712,Plot under wraps.
713,Op and Ed accidentally time-travel from the Galapagos Islands in 1835 to present-day Shanghai. They make their way through the city in confusion and make the horrifying discovery that the species to which they belong became extinct shortly after.
714,"A misunderstood boy takes on ghosts, zombies and grown-ups to save his town from a centuries-old curse."
715,"Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders."
716,"Scooby-Doo and the Mystery Inc. gang solve more mysteries together, each time with a different living, late or fictional celebrity guest."
717,"A British taskforce, lead by the daughter of the vampire hunter Prof. Van Helsing, battles the supernatural with the aid of two vampires."
718,"About an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. His life change when he was forced to enter the ""Volunteer Service Club"" by his teacher."
719,"Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous."
720,"A trio of boy-crazy, fashionista teen girls from Beverly Hills balance their personal and school lives with their work as super-spies."
721,A man crippled by the mundanity of his life experiences something out of the ordinary.
722,"After surviving an invasion on her peaceful homeworld, a beautiful avenger must stop a powerful psychopath from gaining immortality and rescue her kidnapped sister."
723,"The Mystery Gang reunite and visit Moonscar Island, a remote island with a dark secret. Daphne wants more than just a villain in a costume, and they get more than they ever expected."
724,Jackie Chan and his extended family must fight a criminal organization for magic talismans that could release an evil spirit.
725,"To save their farm, the resident animals go bounty hunting for a notorious outlaw."
726,The ill-tempered Grim Reaper gets into a wager that forces him to become the life-long companions of two scheming youngsters after he loses.
727,"High school student Jiro Yakuin gets paired with Akari Watanabe, a gal who finds him repulsive at first, but they agree to attain enough points so that they can switch partners to the people they really like."
728,"Using superpowers to enter their clientele's photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at ""Time Photo Studio,"" a small photography shop set in the backdrop of a modern metropolis."
729,Adventure Time has a sequel with new adventures around other worlds.
730,"An adventurous girl, a young blind hermit, and a goofy two-headed dragon race to find the lost sword Excalibur to save King Arthur and Camelot from disaster."
731,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life."
732,"Told through a series of interconnected phone conversations, it chronicles the mysterious story of a group of strangers whose lives are thrown into disarray in the lead-up to an apocalyptic event."
733,"Batman has not been seen for ten years. A new breed of criminal ravages Gotham City, forcing 55-year-old Bruce Wayne back into the cape and cowl. But, does he still have what it takes to fight crime in a new era?"
734,"Dai Miyamoto, a student from Sendai, receives a saxophone as a gift from his brother, Masayuki. He starts practicing immediately."
735,"To save his mother, a kind-hearted boy and his tiny daemon friend set out on a journey across post-apocalyptic Japan as dark forces close in."
736,A dog named Honey who runs group therapy sessions to help neighborhood animals manage the neuroses brought on by their owners and each other.
737,An elite and aloof schoolgirl is in fact severely withdrawn and anxious about communicating with others. An ordinary schoolboy befriends her and helps her to open up and talk with people.
738,Tiana continues to explore New Orleans in a musical series.
739,An updated iteration of the classic Looney Tunes characters focusing on their satirical misadventures living in suburbia.
740,"Lauren Caspian is the host of In the Know, public radio's third most popular interview program. He's a well-meaning, hypocritical nimrod. He's also a stop motion puppet."
741,"The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua."
742,"A lonely boy wandering the Arctic regions of North America meets a wolf, and the two become fast friends, depending on each other to survive the harsh environment. But the boy has a history, and the wolf is more than meets the eye as well."
