,mystery
502,"Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe."
503,The Midnight Club follows an octet of terminally-ill teenage patients at Brightcliffe Hospice as they gather at midnight to share scary stories.
504,A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.
505,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not."
506,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
507,"In 1994, seventeen-year-old Isabel Baker was murdered. The crime shocked the small town of Ashford and devastated the Australian South Sea Islander community of Elizabeth."
508,"Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety."
509,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
510,A small Norwegian town experiencing warm winters and violent downpours seems to be headed for Ragnarok -- unless someone intervenes in time.
511,"Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom."
512,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.
513,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
514,"Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s."
515,"A group of teenagers spend the weekend in a ski lodge on the anniversary of their friends' disappearance, unaware that they are not alone."
516,"The Closer (2005) spin-off series, which follows Captain Raydor of the Los Angeles Police Department."
517,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
518,A young couple staying in an isolated vacation home are terrorized by three unknown assailants.
519,"Down on her luck and saddled with debt, Emily gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences."
520,The adventures of two California Highway Patrol motorcycle officers.
521,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered."
522,"A recently widowed traveler is kidnapped by a cold blooded killer, only to escape into the wilderness where she is forced to battle against the elements as her pursuer closes in on her."
523,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.
524,A quadriplegic ex-homicide detective and his partner try to track down a serial killer who is terrorizing New York City.
525,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6."
526,"An accidental discovery near a doctor's estate stirs up some painful memories eight years after his wife's hideous murder, and now, things are bound to take a turn for the unexpected. Does the good doctor know more than he's letting on?"
527,A dark fairy tale about a gang of five children trying to survive the horrific violence of the cartels and the ghosts created every day by the drug war.
528,The cases of an undercover police unit composed of young-looking officers specializing in youth crime.
529,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
530,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
531,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
532,"Five friends set sail and their yacht is overturned by a strange and sudden storm. A mysterious ship arrives to rescue them, and what happens next cannot be explained."
533,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
534,"The cases of a brilliant, if Irascible, coroner who investigates suspicious deaths which usually suggest murder."
535,Follows a CIA team in Berlin and their clandestine activities.
536,"The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats."
537,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence."
538,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.
539,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
540,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
541,"A group of young adults, who meet online, get a hold of a cult underground graphic novel, which not only pins them as a target of a shadowy deep state organization, but also burdens them with the dangerous task of saving the world."
542,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.
543,"A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts."
544,A woman faces deadly consequences for abandoning her loving relationship with her boyfriend to pursue exciting sexual scenarios with a mysterious celebrity mountaineer.
545,"Jong-su bumps into a girl who used to live in the same neighborhood, who asks him to look after her cat while she's on a trip to Africa. When back, she introduces Ben, a mysterious guy she met there, who confesses his secret hobby."
546,"A boy in New York is taken in by a wealthy family after his mother is killed in a bombing at the Metropolitan Museum of Art. In a rush of panic, he steals 'The Goldfinch', a painting that eventually draws him into a world of crime."
547,"After her mother goes missing, a young woman tries to find her from home, using tools available to her online."
548,An investigation into a botched kidnapping uncovers long-held secrets connecting multiple characters and cultures in present day New York City.
549,"A brilliant, charismatic, and psychotic serial killer communicates with other active serial killers and activates a cult of believers who follow his every command."
550,"13 years after bestselling horror writer Alan Wake went missing, a string of ritualistic murders occur in the town of Bright Falls, Washington. Saga Anderson, an FBI agent, is sent to Bright Falls to investigate the murders."
551,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
552,"Dorothy, saved from a psychiatric experiment by a mysterious girl, is somehow called back to Oz when a vain witch and the Nome King destroy everything that makes the magical land beautiful."
553,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.
554,"Two streetwise cops bust criminals in their red-and-white Ford Gran Torino, with the help of police snitch, Huggy Bear."
555,"Soon after a stranger arrives in a little village, a mysterious sickness starts spreading. A policeman, drawn into the incident, is forced to solve the mystery in order to save his daughter."
556,"A computer engineer investigates the secretive development division in her company, which she believes is behind the disappearance of her boyfriend."
557,"Two children wake up in the middle of the night to find their father is missing, and all the windows and doors in their home have vanished."
558,Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.
559,"While Christian wrestles with his inner demons, Anastasia must confront the anger and envy of the women who came before her."
560,"Commissioner Martin Beck and his eccentric partner Gunvald Larsson investigate murders in Stockholm, Sweden."
561,"The Hitter, the Hacker, the Grifter and the Thief are back, this time with help from a new tech genius and corporate fixer, to take on a new kind of villain. When someone needs help, they provide...Leverage."
562,"In a remote town in Iceland, police desperately try to solve a crime as a powerful storm descends upon the town."
563,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
564,"When a British soldier is charged with a crime, the tenacious young detective handling his case begins to uncover a conspiracy."
565,"Five years after an unexplained malfunction causes the death of 15 tour-goers and staff on the opening night of a Halloween haunted house tour, a documentary crew travels back to the scene of the tragedy to find out what really happened."
566,"After the murder of her estranged son, a journalist forms an unlikely alliance with his pregnant girlfriend to track down those responsible. Together, they confront a world of drugs and corruption in the underbelly of a small city."
567,"Dramatizes a contemporary American family's attempts to deal with the mundane conflicts of everyday life while grappling with the universal mysteries of love, death, and the possibility of happiness in an uncertain world."
568,"Two Chicago firefighter brothers, who don't get along, have to work together while a dangerous arsonist is on the loose."
569,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
570,"Set in the 1930s, a group of pretentious rich and famous get together for a weekend of relaxation at a hunting resort. But when a murder occurs, each one of these interesting characters becomes a suspect."
571,Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.
572,"DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized, and disrespectful, he attracts trouble like a magnet."
573,"In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown."
574,A young couple looking for the perfect home find themselves trapped in a mysterious labyrinth-like neighborhood of identical houses.
575,"On a beach, young Evie finds an accursed necklace, unwittingly freeing an evil water demon intent on claiming her and loved ones."
576,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem."
577,A genius strategist and people with different personalities and abilities fighting an extraordinary variable and engaging in an unprecedented hostage play.
578,Ichabod Crane is resurrected and pulled two and a half centuries through time to unravel a mystery that dates all the way back to the founding fathers.
579,"Based on the stories of Stephen King, the series intertwines characters and themes from the fictional town of Castle Rock."
580,"Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media."
581,The cases of an easy-going ex-convict turned private investigator.
582,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
583,"As the world searches for a cure to a disastrous virus, a scientist and park scout venture deep in the forest for a routine equipment run."
584,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.
585,"Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective."
586,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror."
587,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity."
588,A father and his daughter struggle to survive in deep space where they live in isolation.
589,"A woman is jailed for her husband's crime, and her only way out is to solve riddles from her mysterious past."
590,A rogue assassin returns to take down the secret organization that trained her.
591,"A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing."
592,"Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent."
593,"Babi discovers a betrayal by her long-term partner and decides to embark on a new adventure in life. On this journey, she meets judge Marco and they begin to live a story permeated by a lot of sexual tension."
594,"Kevin's mother struggles to love her strange child despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started, and his final act will be beyond anything anyone imagined."
595,"In 1931 Paris, an orphan living in the walls of a train station gets wrapped up in a mystery involving his late father and an automaton."
596,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy, and leads her to question the truth about those close to her."
597,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
598,Two shocking and unexpected murders shatter an already fractured community leading to one of the largest manhunts in British history.
599,"A young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites."
600,"When artificial human Meredith is assigned as a companion to grieving widower William, she is designed to behave like his late wife. But in the fight to end AI exploitation, an organization attempts to sabotage her programming."
601,"The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
602,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
603,Follows Dalgliesh's crime-fighting career from 1970s England to the present day.
604,"In this anthology series, each season follows a new cast of characters who deal with traumatic events over several timelines, and how those events impact their lives."
605,"A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
606,"Ten strangers are invited to an island by a mysterious host, and start to get killed one by one. Could one of them be the killer?"
607,"In Night City, a mercenary known as V navigates a dystopian society in which the line between humanity and technology becomes blurred."
608,Elena navigates her life between the human world and the werewolf world as the only female of the species.
609,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
610,Series about the special FBI Missing Persons Squad that finds missing people by applying advanced psychological profiling to reveal the victims' lives.
611,An oddball couple of private detectives named Luella Shakespeare and Frank Hathaway investigate crime in Stratford-upon-Avon.
612,"Follows Orion, a young boy who is afraid of heights, pets, and rendered nearly catatonic by the worst of all perils: the dark. The Dark takes Orion on a nighttime trip to prove to the youngster that the only thing to fear is fear itself."
613,"In England, an American car salesman ends-up spending a stormy night at the mysterious and deadly mansion of a client's family."
614,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.
615,"A group of old college friends reunite for a trip to a most dangerous country in Europe - Sweden, encountering a menacing presence there stalking them."
616,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World."
617,"A young man and his three younger siblings, who have kept secret the death of their beloved mother in order to remain together, are plagued by a sinister presence in the sprawling manor in which they live."
618,Ellie Stocker and Gedeon Winter have become bitter enemies. A ritual murder leads to the formation of a German-Austrian Soko and forces the two opponents to investigate together.
619,"Murphy is a hard-living, hard-drinking, disaffected twenty-something. She's also blind. Her life comes crashing down when she stumbles upon what she's sure is the lifeless body of her closest friend in the alley outside her apartment."
620,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.
621,"Based on Celeste Ng's 2017 bestseller, ""Little Fires Everywhere"" follows the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives."
622,A reformed hunter living in isolation on a wildlife sanctuary becomes involved in a deadly game of cat and mouse when he and the local Sheriff set out to track a vicious killer who may have kidnapped his daughter years ago.
623,"An anthology series centered around the mysterious Geist Group, an unconventional wellness company and their equally unorthodox program, the Homecoming Initiative."
624,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?"
625,"A Secret Service agent goes to Wayward Pines, Idaho in search of two federal agents who have gone missing in the bucolic town. He soon learns that he might never get out of Wayward Pines alive."
626,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
627,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?"
628,"Professor Jasper Tempest, a genius Cambridge University criminologist with OCD and an overbearing mother, advises the police. British version of the Belgian crime drama of the same name."
629,"In a desert dystopia, a young woman is kidnapped by cannibals."
630,"A tale of two strangers who transform each other's lives, a psychological thriller, and a story of love pitted against evil."
631,"After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery."
632,An agent works for a secretive organization that uses brain-implant technology to inhabit other people's bodies - ultimately driving them to commit assassinations for high-paying clients.
633,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.
634,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world's most dangerous criminals."
635,Follows Nikki Batista after she joins the Philadelphia Police Department's Missing Person's Unit to help other people find their loved ones at the same time that she is looking for her missing son.
636,Six complete strangers with widely varying personalities are involuntarily placed in an endless maze containing deadly traps.
637,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
638,Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people; the culprit is legendary apparition The Headless Horseman.
639,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the cause of death of a young woman, who was apparently harboring dark secrets."
640,"On her 30th birthday out for lunch with her mother suddenly explodes into violence, an adrift young woman's perception of her mother is forever changed."
641,The Cotswolds-based PR guru turned amateur sleuth returns for a series of comedic murder-mysteries based on the books by M.C. Beaton.
642,"A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous."
643,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
644,"When a mysterious corpse is found in a river, a distressed police officer delves into a string of grisly murders as danger quickly approaches."
645,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night."
646,A five-part mini-series that revolves around the disappearance of a young mother in a quiet British suburb and the circumstances that leave her children abandoned far from home.
647,"After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them"
648,A professor enters a cave and goes missing. Some of his students come looking for him and get trapped in the cave as well.
649,Teenage explorer Dora leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.
650,"The origin of the sleuth and member of the Mystery Inc. gang, Velma."
651,"Follows Franklin and Irene York, a couple who years ago discovered a chamber buried in their backyard which inexplicably leads to a strange, deserted planet."
652,A young boy and his grandmother have a run-in with a coven of witches and their leader.
653,A man learns something extraordinary about himself after a devastating accident.
654,"Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch and is aided by rebellious Eda and pint-sized demon King."
655,"A specially gifted man, with the ability to instantly master any skill, escapes from a secret testing facility and travels the country taking on different jobs and helping strangers while hiding from his kidnappers."
656,The lives and work of the staff of an inner city police precinct.
657,"Two years after the first series of murders, as Sidney acclimates to college life, someone donning the Ghostface costume begins a new string of killings."
658,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home."
659,"Now a detective-for-hire, Enola Holmes takes on her first official case to find a missing girl as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends - and Sherlock himself - to unravel."
660,"When a team of explorers venture into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead."
661,The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.
662,"Pete and Myka, U.S Secret Service agents, are deployed in South Dakota's Warehouse 13 with a new assignment from an authority above and outside the government."
663,A young woman is found brutally murdered in a playground and one of her hands is missing. Above her hangs a small man made of chestnuts.
664,"Alice is appointed to save her beloved Mad Hatter from deadly grief by travelling back to the past, but this means fatally harming Time himself, the noble clockwork man with the device needed to save the Hatter's family from the Red Queen."
665,"In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness."
666,Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.
667,"A semi-anthology series that centers on characters being terrorized by a serial killer in different locations, including a university and a hospital."
668,"Drama following Brighton-based Detective Superintendent Roy Grace, a hard-working police officer who has given his life to the job."
669,"Young Nancy Drew makes plans to leave her hometown for college after high school graduation, but finds herself drawn into a supernatural murder mystery."
670,A recently retired English professor discovers a real knack for investigation and cannot help but interfere with the cases assigned to her police detective son.
671,"A Scottish lord becomes convinced by a trio of witches that he will become the next King of Scotland, and his ambitious wife supports him in his plans of seizing power."
672,"A woman in New York, who seems to have things under control, is faced with a trauma that makes her life unravel."
673,An American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.
674,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
675,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray."
676,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
677,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.
678,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes."
679,A fortune teller with extrasensory perception is asked to help find a young woman who has mysteriously disappeared.
680,A dark comedy that focuses on a female con artist who marries people and then disappears with their money.
681,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals."
682,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.
683,Drama series following a team of detectives who investigate unsolved murders using modern technology.
684,"A mysterious blonde woman kills one of a psychiatrist's patients, and then goes after the high-class call girl who witnessed the murder."
685,U.S. Marshal Carrie Stetko tracks a killer in Antarctica as the sun is about to set for six months.
686,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves."
687,"Tenacious and stubborn DCI Alan Banks unravels disturbing murder mysteries aided by his young assistants, DS Annie Cabbot and DI Helen Morton."
688,"In late 1930s Bay City, a brooding, down on his luck detective is hired to find the ex-lover of a glamorous heiress."
689,Two couples rent a vacation home for what should be a celebratory weekend get-away.
690,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
691,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
692,"A puritan police sergeant arrives in a Scottish island village in search of a missing girl, who the pagan locals claim never existed."
693,"With the help of DS John Bacchus, Inspector George Gently spends his days bringing to justice members of the criminal underworld who are unfortunate enough to have the intrepid investigator assigned to their cases."
694,"In London, two lowly interns at a mysterious firm uncover a plot by their CEO to disrupt the ancient magical world with modern corporate practices."
695,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her."
696,"A joint USA-Soviet expedition is sent to Jupiter to learn exactly what happened to the ""Discovery"" and its H.A.L. 9000 computer."
697,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother."
698,A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.
699,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.
700,"Mourning his dead child, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death."
701,A shy and enigmatic Detective Sergeant is partnered with a wildly ambitious Detective Chief Inspector to solve crimes in the historic city of Bath.
702,"Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals."
703,A psychotherapist finds himself held prisoner by a serial killer who demands he help him curb his homicidal urges.
704,"An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror."
705,The fictional Creepshow comic books come to life in this anthology series of terrifying tales hosted by the silent Creepshow ghoul.
706,A trio of bodybuilders in Florida get caught up in an extortion ring and a kidnapping scheme that goes terribly wrong.
707,A soap opera set in a fictional village in the Yorkshire Dales.
708,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe."
709,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
710,"Laura Palmer's harrowing final days are chronicled one year after the murder of Teresa Banks, a resident of Twin Peaks' neighboring town."
711,Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.
712,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos."
713,"The extraordinary and chilling story of career conman Robert Freegard who masqueraded as an MI5 agent and fooled people into going into hiding, and the woman who fell for him, and then brought him down."
714,"When Kath and her boyfriend arrive at a remote cabin in the redwoods, they find a mysterious younger couple already there. Her boyfriend disappears with the young woman, and Kath becomes obsessed with finding an explanation."
715,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.
716,"After a severely injured test pilot is rebuilt with nuclear-powered bionic limbs and implants, he serves as an intelligence agent."
717,"A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer."
718,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
719,An injured forest ranger on a routine mission is saved by two off-the-grid survivalists. What is initially a welcome rescue grows more suspicious as the son and his renegade father reveal a cultish devotion to the forest.
720,"A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest."
721,Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.
722,Plot under wraps.
723,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
724,"David Marks, a real estate scion, is suspected of killing his wife Katie, who disappeared in 1982."
725,"On a hot summer day in Oslo, the dead mysteriously awaken, and three families are thrown into chaos when their deceased loved ones come back to them. Who are they, and what do they want?"
726,A newly appointed coroner investigates a string of mysterious deaths in Toronto.
727,A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.
728,"The limited drama series is a gripping, character-driven thriller based on the 2012 New York Times best selling novel of the same name by William Landay. An assistant DA's world is shattered when his beloved son gets charged with murder."
729,"Obsessed with the disappearance of a 12-year-old pregnant girl near a freezing lake in New Zealand, a brave detective will find herself up against small-town secrets and a side of herself that was meticulously kept at bay."
730,"Mannix worked originally for Wickersham at Intertect and then struck out on his own, assisted by Peggy Fair (whose cop-husband had been killed) and Police Department contact Tobias."
731,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style."
732,A group of teens must survive after a plane crash leaves them stranded on a deserted island. The girls tell their stories to investigators who slowly piece together what happened to them.
733,"At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson."
734,"Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence."
735,A young African-American travels across the U.S. in the 1950s in search of his missing father.
736,A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.
737,A private investigator is hired by a man who calls himself Louis Cyphre to track down a singer named Johnny Favorite. But the investigation takes an unexpected and somber turn.
738,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
739,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials."
740,Holistic detective Dirk Gently investigates cases involving the supernatural.
741,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies."
742,"A group of cold case investigators stay at the Carmichael Manor. After four nights, the group was never heard from again. What is discovered on their footage is even more disturbing than anything found on the Hell House tapes."
743,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend."
744,"A Southern Noir thriller, set in a tough-and-tumble Mississippi town where a woman and her young daughter are caught in the crossfire when whiskey, guns, and the desire for revenge violently intersect."
745,A retired Intelligence Agent turned private detective helps various threatened clients to equalize the odds.
746,"In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis."
747,"A thirteen-year-old girl, who lives with her absentee father, befriends a disabled teenage amateur magician and invites him, gradually, into her tenuous struggle against a predatory local neighbor."
748,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.
749,"Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past."
750,"A brain, an athlete, a princess, a criminal and a ""basket case"" walk into detention--but only the first four make it out alive."
751,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
752,Star Wars series that takes viewers into a galaxy of shadowy secrets and emerging dark-side powers in the final days of the High Republic era.
753,"A disgraced former military doctor embarks as a surgeon aboard a whaler bound for the Arctic, where his quest for redemption becomes a fight for survival."
754,An ambitious reporter gets in way-over-his-head trouble while investigating a senator's assassination which leads to a vast conspiracy involving a multinational corporation behind every event in the world's headlines.
755,A cupid from 500 years awaiting his release meets a woman born with no red thread of love for all her incarnations. What would happen when they take an interest in each other amidst a series of serial killings and a complicated past life?
756,"A crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not."
757,A group of young adults visit a boarded up campsite named Crystal Lake where they soon encounter the mysterious Jason Voorhees and his deadly intentions.
