,horror
506,"When Ash Williams is accidentally transported to 1300 A.D., he must retrieve the Necronomicon and battle an army of the dead in order to return home."
507,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters."
508,Revolves around a new female college student in a dormitory filled with mysterious occurrences due to the awakening of a demon through an incantation and curse that still holds a connection to her own past.
509,A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.
510,A deaf and mute writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
511,"A young couple trying to reunite amid a city ravaged by a plague that turns its victims into deranged, bloodthirsty sadists."
512,"The Assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of Phil Tippett, the world's preeminent stop-motion animator."
513,Two brothers find themselves lost in a mysterious land and try to find their way home.
514,"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead."
515,A struggling single mother unknowingly gifts her son a doll imbued with a serial killer's consciousness.
516,An anthology series featuring rampaging serial killers leaving carnage in their wake as their next victims fight to stay alive.
517,"While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
518,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
519,"Out to avenge his mother's death, a college student pledges to a secret order and lands in a war between werewolves and practitioners of dark magic."
520,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
521,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself."
522,"In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense."
523,"During an escalating zombie epidemic, two Philadelphia SWAT team members, a traffic reporter and his TV executive girlfriend seek refuge in a secluded shopping mall."
524,A young solicitor travels to a remote village where he discovers that the vengeful ghost of a scorned woman is terrorizing the locals.
525,A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.
526,"Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope."
527,"After orchestrating a brilliant escape from an Estonian psychiatric facility, Esther travels to America by impersonating the missing daughter of a wealthy family."
528,A teenager believes that the newcomer in his neighborhood is a vampire. He turns to an actor in a television horror show for help to deal with the undead.
529,A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.
530,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula."
531,"Two people live in different times. Seo-Yeon lives in the present and Young-Sook lives in the past. One phone call connects the two, and their lives are changed irrevocably."
532,A small group of American soldiers find horror behind enemy lines on the eve of D-Day.
533,"When a man accepts an invitation to a dinner party hosted by his ex-wife, the unsettling past reopens old wounds and creates new tensions."
534,Group of people find themselves trapped in States from Zombies.
535,A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.
536,An archivist hired to restore a collection of tapes finds himself reconstructing the work of a filmmaker and her investigation into a dangerous cult.
537,"After her life falls apart, soft-spoken actress Laura Franco finds her voice again when she meets a terrifying, yet weirdly charming Monster living in her closet. A romantic-comedy-horror film about falling in love with your inner rage."
538,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
539,A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.
540,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors."
541,"A former banker, his actress wife, and their spirited daughter book a vacation at an isolated modern home in the Welsh countryside where nothing is quite as it seems."
542,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment."
543,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run."
544,Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.
545,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.
546,A usual working day turns unusual for Guru and Harini when they get trapped in their haunted office. A patterned game unlocks a mystery and a lift is their only way out.
547,Flighty teenage girl Buffy Summers learns that she is her generation's destined battler of vampires.
548,"A disturbed, delusional high-school student with aspirations of a career in medicine goes to extremes to earn the approval of her controlling mother."
549,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA."
550,"A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point."
551,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world."
552,"A married couple grieving the recent death of their young daughter are in Venice when they encounter two elderly sisters, one of whom is psychic and brings a warning from beyond."
553,"Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped."
554,The story based off of the controversial manga by Suehiro Maruo takes place where a little orphaned girl joins a freak-show circus troupe whose members rape and abuse her. She then finds a glimmer of hope in the enigmatic magician who joins the group.
555,"When Katie innocently accepts an offer to have new photos taken for her portfolio, the experience quickly turns into a nightmare of rape, torture and kidnapping. Now, she will have to find the strength to exact her brutal revenge."
556,Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
557,"An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on."
558,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.
559,"When a mysterious cell phone signal causes apocalyptic chaos, an artist is determined to reunite with his young son in New England."
560,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak."
561,"The 11th installment of the ""Saw"" film series."
562,"Reality show where two strangers (typically 1 male, 1 female) try to survive in the wild for up to 21 days, naked."
563,"After a young couple take in their two nieces, they suspect that a supernatural spirit named Mama has latched onto their family."
564,The saga of Michael Myers and Laurie Strode comes to a spine-chilling climax in the final installment of this trilogy.
565,"A seemingly naive and devout young woman navigates her way into the underground world of truck stop sex workers a.k.a. ""lot lizards."""
566,"A werewolf, a vampire, and a ghost try to live together and get along."
567,The gruesome tapestry of psychological manifestations of a nineteen year old bulimic runaway stripper-turned prostitute as she descends into a hellish pit of satanic nightmares and hallucinations.
568,"A comet wipes out most of life on Earth, leaving two Valley Girls fighting against cannibal zombies and a sinister group of scientists."
569,Guts is haunted by demons who are attracted to him because of a demonic mark on his neck.
570,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
571,The misadventures of a blissfully macabre but extremely loving family.
572,"Set in an alternate New York City, a father and husband searches through a magical world for his abducted son and missing wife."
573,"As a group of first responders escape death's grasp, they start to be killed by increasingly unlikely and killer mishaps."
574,"When troubled musical prodigy Charlotte seeks out Elizabeth, the new star pupil of her former school, the encounter sends both musicians down a sinister path with shocking consequences."
575,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake."
576,A journey into uncharted and forbidden territory through three tales tangled in space and time.
577,"A group of graduate students and scientists uncover an ancient canister in an abandoned church, but when they open the container, they inadvertently unleash a strange liquid and an evil force on all humanity."
578,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality."
579,"When a group of misfits are hired by an unknown third party to burglarize a desolate house and acquire a rare VHS tape, they discover more found footage than they bargained for."
580,A widow begins to uncover her recently deceased husband's disturbing secrets.
581,"An elite mercenary is killed, but comes back from Hell as a reluctant soldier of the Devil."
582,Follows two priests dealing with cases of a demonic presence targeting a family and a foster home.
583,A young girl finds solace in her artist father and the ghost of her dead mother.
584,"Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events."
585,A detective and his team must rescue 8 people trapped in a factory by the twisted serial killer known as Jigsaw.
586,"Follows two best friends on their final night together, with a nightmare of drugs, bugs, and horrific intimacy."
587,"A college professor and a team of psychics investigate an old abandoned house. Hoping to explain some of the mysterious deaths on the property, the psychics stay in the mansion, but unleash a terrifying force that threatens to destroy all."
588,"A love triangle develops between a beautiful yet dangerous vampire (Catherine Deneuve), her cellist companion (David Bowie), and a gerontologist (Susan Sarandon)."
589,"In 1897 Transylvania, the blood-drinking Count draws his plans against Victorian London."
590,"Still a stranger to her own body, a high school student discovers she has a physical advantage when she becomes the object of male violence."
591,A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.
592,"Abby Arcane returns home to Marais, Louisiana to investigate a deadly swamp-borne virus, only to discover the dark, terrifying mysteries of the swamp."
593,"Taking matters into his own hands, Detective Bob Hightower tries to infiltrate an evil cult to save his kidnapped daughter and avenge the murder of his wife."
594,"An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door."
595,A prince of the mythical world starts a rebellion against humanity in order to rule the Earth. Hellboy and his team must fight to stop him from locating the all-powerful Golden Army.
596,"A vampire Countess needs to drink the blood of a virgin in order to keep her eternal beauty. It seems that all is hopeless, until she bumps into Mark Kendall."
597,A desperate search for the young daughter of the town's new minister.
598,"Counting down his last days as Chief of Police in the tiny town of Lone Crow, John Hawkins must investigate one last case when a mangled body with uncanny wounds washes up on the shores of the Porcupine River."
599,"A Native American teen resurrects an ancient demon to protect his family from meth dealers, but finds the creature's bloodlust uncontrollable, forcing the family to break the curse before becoming its next victims."
600,A transport ship crashes and leaves its crew stranded on a desert planet inhabited by bloodthirsty creatures that come out during an eclipse.
601,A simple man is turned into a genius through the application of computer science.
602,Short dramas each with a twist of some kind; across the first four seasons most of these are from short stories by Roald Dahl.
603,"Lara is a woman tormented, torn between science and faith. Her husband pushes her to seek treatment from a congregation of zealots, and a ruthless exorcist tries to save her soul by putting an innocent woman through hell."
604,"A t-virus outbreak in San Francisco leads to Alcatraz Island, where a new evil has taken residence."
605,A recovering alcoholic must wrestle with demons within and without when he and his family move into a haunted hotel as caretakers.
606,"When a composer is tasked with finishing her late mentor's concerto, she soon discovers that playing the music summons deadly consequences, leading her to uncover the disturbing origins of the melody and an evil that has awakened."
607,"A family of friendly monsters have misadventures, never quite understanding why people react to them so strangely."
608,"After a childhood marked by a miracle, Narcisa, a novice nun joins a school to teach young girls."
609,"In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature."
610,"After an entity of mysterious origin annihilates the world's population causing those who observe it to take their lives, Sebastián and his daughter begin their own great adventure of survival in Barcelona."
611,Follows the surreal and bloody trilogy of erotic horror stories culled from Danzig's comic.
612,"Four people attempt to stop a gigantic crocodile, who is terrorizing residents in Black Lake, Maine."
613,"A teenage Leatherface escapes from a mental hospital with three other inmates, kidnapping a young nurse and taking her on a road trip from hell, while being pursued by a lawman out for revenge."
614,Two young women terrorized by a group of small town psychos seek revenge on their tormentors.
615,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.
616,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogotá, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed."
617,A group of high school students form a coven of witches.
618,"Upon returning to his home village to continue his experimental research, the destitute Dr. Frankenstein revives his old creature, but a hypnotist wants the monster to control for himself."
619,A small-town farmer's son reluctantly joins a traveling group of vampires after he is bitten by a beautiful drifter.
620,"Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago."
621,"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back."
622,Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.
623,"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
624,A troubled writer moves into a haunted house after inheriting it from his aunt.
625,An institutionalized young woman becomes terrorized by a ghost.
626,"An aspiring writer is repeatedly assaulted, humiliated, and left for dead by four men she systematically hunts down to seek revenge."
627,"Discover a reborn Mortal Kombat Universe created by the Fire God Liu Kang. Mortal Kombat 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities."
628,"In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead."
629,"When a bloodthirsty cult invades a bowling alley on its final night of operation, a high schooler on a date from hell, must join forces with her survivalist dad to fend off the crazed murderers."
630,A confused religious girl tries to deny her feelings for a female friend who's in love with her. This causes her suppressed subconsciously-controlled psychokinetic powers to reemerge with devastating results.
631,"Residents of a rundown French apartment building battle against an army of deadly, rapidly reproducing spiders."
632,"Winter has fallen on the South Pole. A small team, known as the Winterers, will remain at the Polaris VI Antarctic Research Station to continue their innovative research, a crucial part in the fight against climate change."
633,"When the brilliant but unorthodox scientist Dr. Victor Frankenstein rejects the artificial man that he has created, the Creature escapes and later swears revenge."
634,"Perched on the hull of a wrecked Soviet freighter, a team of deep-sea miners led by head oceanographer Steven Beck comes face to face with a mutant creature that's the product of a failed genetic experiment."
635,"Newlyweds and their three children move into a large house where a mass murder was committed. They start to experience strange, inexplicable manifestations which have strong effects on everyone living in or visiting the house."
636,"Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans."
637,"A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse."
638,"On Halloween 1968, Stella and her two friends meet a mysterious drifter, Ramón, and uncover a sinister notebook of stories."
639,"In an abandoned house in Poughkeepsie, New York murder investigators uncover hundreds of tapes showing decades of a serial killer's work."
640,"Three twenty-somethings share a house and try to live a normal life despite being a ghost, a werewolf, and a vampire."
641,"A rich divorcee Chris falls in love with a mysterious woman Sky where Chris, ex-wife and his child eventually gets trapped and a desperate fight for survival will most likely ensue."
642,"A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
643,"A teenager teams up with the daughter of young-adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware."
644,A horror anthology series with each episode inspired by a holiday.
645,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces."
646,"A schoolgirl and six of her classmates travel to her aunt's country home, which turns out to be haunted."
647,"Five carnival workers are kidnapped and held hostage in an abandoned, hellish compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns."
648,"Upon his return to his ancestral homeland, an American man is bitten and subsequently cursed by a werewolf."
649,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story."
650,"Ash Williams, the lone survivor of an earlier onslaught of flesh-possessing spirits, holes up in a cabin with a group of strangers while the demons continue their attack."
651,"A thriller involving an ongoing unsolved mystery in Alaska, where one town has seen an extraordinary number of unexplained disappearances during the past 40 years and there are accusations of a federal cover up."
652,A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.
653,Four travelers encounter menacing phenomena while camping in a remote stretch of the Mojave Desert.
654,"Follows Iraqi war veteran Tess, as she prepares to strike back after a group of home invaders attack during her sister's bachelorette party, and she discovers that they are hellbent on not leaving any witnesses behind."
655,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends."
656,"After a doctor is called to visit a crumbling manor, strange things begin to occur."
657,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival."
658,"A simple yet proud farmer in the year 1922 conspires to murder his wife for financial gain, convincing his teenage son to assist. But their actions have unintended consequences."
659,"A team of experts and scientists undertakes exhaustive research at Skinwalker Ranch, an infamous location for paranormal activity and UFO sightings."
660,"Sarah Snook plays a fertility doctor who believes firmly in life and death, but after noticing the strange behavior of her young daughter, she must challenge her own values and confront a ghost from her past."
661,When your mouth can't speak. The sins in the world are witnesses that produce the painful torment of Hell.
662,"After picking up a traumatized young hitchhiker, five friends find themselves stalked and hunted by a deformed chainsaw-wielding loon and his family of equally psychopathic killers."
663,An anthology series of insightful science fiction tales.
664,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the Northeast of the United States.
665,A mysterious serial killer is preying on other serial killers and one FBI agent suspects there may be more to the vigilante than the obvious characteristics.
666,"In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process."
667,A frustrated detective deals with the case of several gruesome murders committed by people who have no recollection of what they've done.
668,"Tom returns to his hometown on the tenth anniversary of the Valentine's night massacre that claimed the lives of 22 people. Instead of a homecoming, Tom finds himself suspected of committing the murders, and it seems like his old flame is the only one that believes he's innocent."
669,"During the bright Nordic summer, a group of children reveal their dark and mysterious powers when the adults aren't looking. In this original and gripping supernatural thriller, playtime takes a dangerous turn."
670,"After bailing on her wedding, a former bride-to-be must fight off her ex-groom and seven angry killer groomsmen in order to survive the night."
671,"Twelve years after the tragic death of their little girl, a doll-maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, where they become the target of the doll-maker's possessed creation, Annabelle."
672,A horrifying story of a shaman's inheritance in the Isan region of Thailand. What could be possessing a family member might not be the Goddess they make it out to be.
673,"After being rescued and brought to an island, a man discovers that its inhabitants are experimental animals being turned into strange-looking humans, all of it the work of a visionary doctor."
674,"After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident."
675,An invisible scientist escapes from an asylum and teaches high-school physics to nubile teens.
676,"The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom lives in quiet solace until his past sins catch up to him."
677,"After five ritualistic murders are committed in 1888 London, Inspector Abberline's assignment is to investigate the ""Jack the Ripper"" murders. Along with a string of mutilated prostitutes, he uncovers a conspiracy involving the government."
678,A man awakens from a coma to discover he has a psychic ability to foresee future events.
679,"In this loose sequel to Interview with the Vampire: The Vampire Chronicles (1994), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires."
680,A gang of ruthless highway killers kidnap a wealthy couple traveling cross country only to shockingly discover that things are not what they seem.
681,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise."
682,"Five medical students, obsessed by what lies beyond the confines of life, embark on a daring experiment: by stopping their hearts for short periods, each triggers a near-death experience - giving them a firsthand account of the afterlife."
683,A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.
684,"When Mr. Harrigan dies, Craig, the teen who befriended and did odd jobs for him, puts his smart phone in his pocket before burial. When the lonely youth sends his dead friend a message, he is shocked to get a return text."
685,"Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood."
686,"When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven."
687,"A group of students go to the location of the infamous Dyatlov pass incident to make a documentary, but things take a turn for the worse as the secret of what happened there is revealed."
688,"It's bad enough that boarding school students Samantha and Clara can't go home for the holidays, but things take a deadly turn when a murderous gang arrives on their doorstep - just in time for Christmas."
689,"A leisurely Mexican holiday takes a turn for the worse when a group of friends and a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins."
690,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms."
691,"An episodic anthology that will follow individual characters from the The Walking Dead TV universe, both new and old."
692,"A group of small but vicious alien creatures called Crites escape from an alien prison transport vessel and land near a small farm town on earth, pursued by two shape-shifting bounty hunters."
693,"Maria, an alienated high-school student, has her life turned upside down when she switches places with her sinister mirror image."
694,"Nearly three decades after the discovery of the T-virus, an outbreak reveals the Umbrella Corporation's dark secrets."
695,"Jason Voorhees is cryogenically frozen at the beginning of the 21st century, and is discovered in the 25th century and taken to space. He gets thawed, and begins stalking and killing the crew of the spaceship that's transporting him."
696,"The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
697,"A ragtag spaceship crew sent on a rescue mission encounter a formidable enemy, their worst fears projected by their own imaginations."
698,"Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems."
699,"The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily."
700,"When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?"
701,A psychiatrist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.
702,"As he helps a young artist with her upcoming exhibition, the owner of a mannequin shop's deadly, suppressed desires come to the surface."
703,Öznur loves her cousin Kudret since childhood. Kudret marries Nisa. Jealous Öznur uses black magic to win Kudret. The spell unleashes evil forces.
704,"A group of teenagers meet in the woods, and tell scary stories."
705,"Never take your mistress on an annual guys' getaway, especially one devoted to hunting - a violent lesson for three wealthy married men."
706,Deliveryman Sam Porter must travel across a ravaged wasteland and reconnect the city states of America formed after a mysterious apocalyptic event dubbed 'death stranding' left the world in ruins and plagued by supernatural tar creatures.
707,"Desperate to repay his debt to his ex-wife, an ex-con plots a heist at his new employer's country home, unaware that a second criminal has also targeted the property, and rigged it with a series of deadly traps."
708,"A likable guy pursues his office crush with help from his evil talking pets, but things turn sinister when she stands him up for a date."
709,"An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim."
710,"Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects."
711,Showcases a suburban house inhabited by an mysterious entity.
712,"A group of Salem teens discover a cursed knife that unleashes a demon that forces them to play gruesome, deadly versions of childhood games where there can be no winners, only survivors."
713,An overweight teen is bullied by a clique of cool girls poolside while holidaying in her village. The long walk home will change the rest of her life.
714,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
715,"When a freak hurricane swamps Los Angeles, nature's deadliest killer rules sea, land, and air as thousands of sharks terrorize the waterlogged populace."
716,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too."
717,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
718,"A young, expectant wife must figure out how to stop her husband's nightmarish sleepwalking habits before he harms himself or his family."
719,"Doctors at an ultramodern hospital in Denmark become convinced, by way of weird, inexplicable happenings, that the place is haunted."
720,"In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island."
721,"A group of heavily armed hijackers board a luxury ocean liner in the South Pacific Ocean to loot it, only to do battle with a series of large-sized, tentacled, man-eating sea creatures who had already invaded the ship."
722,"Unveiled through a made-for-TV documentary, five tales of found footage horror emerge to take viewers on a terrifying journey into the grim underbelly of the 1980s."
723,Follows a lycanthrope superhero who fights evil using the abilities given to him by a curse brought on by his bloodline.
724,A reverend and her daughter start a new life in a village that soon reveals its community's dark history and where ancient superstitions and mistrust of outsiders are quite common.
725,Twin brothers arrive at their mother's house and begin to suspect that something isn't right.
726,"Four horror and science fiction segments, directed by four famous directors, each of them being a new version of a classic story from Rod Serling's landmark television series."
727,A forensic psychiatrist discovers that all but one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.
728,"In a dystopian alternate 1999, a former cop is forced to take part in a death race in which cars run on human blood as fuel."
729,"Dr. Louis Creed and his wife, Rachel, relocate from Boston to rural Maine with their two young children. The couple soon discover a mysterious burial ground hidden deep in the woods near their new home."
730,An unearthly fog rolls into a small coastal town exactly 100 years after a ship mysteriously sank in its waters.
731,"A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw."
732,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences."
733,A group of people are trapped in an elevator and the Devil is mysteriously amongst them.
734,"A television reporter and her cameraman are trapped inside a building quarantined by the CDC, after the outbreak of a mysterious virus which turns humans into bloodthirsty killers."
735,"A group of college friends rent a smart house for a weekend of partying. Later, they start to realize that Margaux, the house's super advanced AI system, has sinister designs for them."
736,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter."
737,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart."
738,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
739,"Lisa Nova, an aspiring film director in the sun-drenched but seamy world of 1990 Los Angeles, embarks on a mind-altering journey of supernatural revenge that gets nightmarishly out of control."
740,"Fear engulfs a village as murders pile up mysteriously. Shailu, a young woman is the heart of the story and the enigmatic tale unravels with a suspenseful cinematic journey."
741,"Set in a Chicago neighborhood nearly a decade after an occupation by an extraterrestrial force, 'Captive State' explores the lives on both sides of the conflict - the collaborators and dissidents."
742,"Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival."
743,"Follows a group of Oxford students, one of them becomes the collegiate talk of the town by conducting study into the mysteries of Ancient Egypt. Can the horrible sack of bones known as Lot No. 249 come to life thanks to these experiments?"
744,"Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman."
745,"During a babysitting gig, a high-school student is harassed by an increasingly threatening prank caller."
746,"After being committed for 15 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution and immediately returns to Haddonfield to find his baby sister, Laurie."
747,An urban couple goes camping in the woods and find themselves lost in the territory of a predatory black bear.
748,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home."
749,"As kids, they escaped a UFO death cult. Now, two adult brothers seek answers after an old videotape surfaces and brings them back to where they began."
750,"After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover."
751,A college student suspects a series of bizarre deaths are connected to certain urban legends.
752,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile."
753,"An interweaving narrative chronicling the antics of such diverse characters as: a transgender taxi driver, a family obsessed with hygiene and toads, a fiery reverend, a carnival owner who kidnaps women into marriage, and a xenophobic couple who run a local shop for local people."
754,A young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.
755,A ventriloquist is at the mercy of his vicious dummy while he tries to renew a romance with his high school sweetheart.
756,"Two teenage girls heading to a rock concert for one's birthday try to score marijuana in the city, where they are kidnapped and brutalized by a gang of psychopathic convicts."
757,"A modern re-imagining of the beloved character, The Crow, based on the original graphic novel by James O'Barr."
758,"17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and a human as part monster, part person."
759,"A young woman, while attempting to save her father during a category 5 hurricane, finds herself trapped in a flooding house and must fight for her life against alligators."
760,"A depressed psychiatrist wakes up as a patient in the asylum where she worked, with no memory of why she is there or what she has done."
761,"Earl Bassett, now a washed-up ex-celebrity, is hired by a Mexican oil company to eradicate a Graboid epidemic that's killing more people each day. However, the humans aren't the only one with a new battle plan."
762,"Three groups of people intertwine and are left stranded in the streets on Purge Night, trying to survive the chaos and violence that occurs."
