,fantasy
537,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
538,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland."
539,"An attractive and popular teenager, who is mean-spirited toward others, finds herself in the body of an older man, and must find a way to get back to her original body."
540,"Alice is appointed to save her beloved Mad Hatter from deadly grief by travelling back to the past, but this means fatally harming Time himself, the noble clockwork man with the device needed to save the Hatter's family from the Red Queen."
541,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife."
542,"Caught between the worlds of the supernatural and human, Hellboy battles an ancient sorceress bent on revenge."
543,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo."
544,"An unpredictable fantasy romance between a woman living under a curse that causes her to turn into a dog when kissed, and the only one who can help her overcome the curse is a man who is afraid of dogs."
545,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
546,"When Cyrus Kriticos, a very rich collector of unique things, dies, he leaves his house, fortune, and his prized collection of ghosts."
547,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
548,"An all-star ensemble of beloved characters from Walt Disney Animation Studios come together for a joyful, entertaining and emotional reunion as they assemble for a spectacular group photo to mark Disney's 100th anniversary."
549,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
550,Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.
551,The film is a fairy-tale comedy about a workaholic man who enlists the help of a magical genie to help win his family back before Christmas.
552,"Based on the New York Times bestseller, The Power is our world, but for one twist of nature. Suddenly, women develop a mysterious new ability to electrocute at will, leading to an extraordinary global reversal of the power balance"
553,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
554,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins."
555,"A depressed musician reunites with his lover. However, their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister."
556,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous."
557,"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son, two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian."
558,A fortune teller with extrasensory perception is asked to help find a young woman who has mysteriously disappeared.
559,A supernatural medical drama that centers on the lives of the doctors and nurses of Hope Zion Hospital.
560,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.
561,"When the sun goes down on the last night of summer camp, nine teenage counselors are plunged into an unpredictable night of horror."
562,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
563,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
564,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world."
565,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire."
566,In the midst of the wedding princess Miroslava is kidnapped by a dragon and carried away into his castle on the remote island.
567,Serialized remake of 'The Princess Bride' told in short chapters featuring celebrities at home during quarantine.
568,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure."
569,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
570,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
571,"In London, two lowly interns at a mysterious firm uncover a plot by their CEO to disrupt the ancient magical world with modern corporate practices."
572,"Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon."
573,"A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure."
574,The peaceful town of Centerville finds itself battling a zombie horde as the dead start rising from their graves.
575,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.
576,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
577,"Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals."
578,"An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror."
579,The fictional Creepshow comic books come to life in this anthology series of terrifying tales hosted by the silent Creepshow ghoul.
580,"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge."
581,An urban dark fantasy drama about a gumiho who settles into the city and a producer who is after it.
582,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.
583,In 1969 a young Jud Crandall and his childhood friends band together to confront an ancient evil that has gripped their hometown of Ludlow.
584,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
585,"Araji Tomobishi gets caught up in battles among powerful individuals after reuniting with his former friend Mataka Asamine. Meanwhile, the shadow of a colossal demon appears...?!."
586,"A group of librarians set off on adventures in an effort to save mysterious, ancient artifacts."
587,An injured forest ranger on a routine mission is saved by two off-the-grid survivalists. What is initially a welcome rescue grows more suspicious as the son and his renegade father reveal a cultish devotion to the forest.
588,"Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island."
589,"14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague."
590,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
591,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
592,Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.
593,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
594,"In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realizes he's the one person who can defend his home against an evil king."
595,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.
596,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape."
597,A G.I. Joe spin-off centered around the character of Snake Eyes.
598,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late."
599,"A young, recently-orphaned girl is sent to England after living in India all of her life. Once there, she begins to explore her new, seemingly-isolated surroundings, and its secrets."
600,"Set after the events of ""WandaVision,"" Agatha Harkness recruits some unlikely allies on her quest to regain her former powers."
601,"Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution, the killings start again, and they are very similar to Reese's style."
602,"A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy."
603,A young African-American travels across the U.S. in the 1950s in search of his missing father.
604,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
605,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
606,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
607,"In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island."
608,"A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom."
609,Holistic detective Dirk Gently investigates cases involving the supernatural.
610,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead, and he uses that gift to con people. However, when a demonic spirit appears, he may be the only one who can stop it from killing the living and the dead."
611,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands."
612,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth."
613,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
614,The adventures of the greatest of the female superheroes.
615,"Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her."
616,"It follows Lucy as she's hired to write the script for a remake of a holiday movie. She joins a tour of the grounds and when she knocks an hourglass over, she finds herself transported back in time to 1946."
617,Star Wars series that takes viewers into a galaxy of shadowy secrets and emerging dark-side powers in the final days of the High Republic era.
618,A cupid from 500 years awaiting his release meets a woman born with no red thread of love for all her incarnations. What would happen when they take an interest in each other amidst a series of serial killings and a complicated past life?
619,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom."
620,The most dangerous villains in the DC Universe have been forced to team up and take on a new mission: Kill the Justice League.
621,"On Christmas Eve, a fighter pilot on his way home gets lost mid-flight over water and needs a miracle to land safely."
622,"A modern revival of the classic science fiction horror anthology show The Outer Limits (1963). Episodes often have twist-endings and involve aliens. Sometimes, a story from one episode continues in a later episode."
623,An Arizona logger mysteriously disappears for five days in an alleged encounter with a flying saucer in 1975. His co-workers endure ridicule and contempt as they are wrongly accused of murder.
624,A detective must work with an Orc to find a powerful wand before evil creatures do.
625,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.
626,"After a teenage delinquent is killed while saving a child's life from an approaching car, the rulers of the underworld send him back to become an ""Underworld Detective"" investigating demons apparitions in the human world."
627,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves."
628,"In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own."
629,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet."
630,A Texas Ranger is in hot pursuit of the infamous Gecko brothers and their hostages. They all end up trapped in a desert bar secretly run by vampires and discover a vampire conspiracy.
631,"An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
632,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
633,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.
634,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
635,Teenager Courtney Whitmore joins the Justice Society of America. Based on the character from DC Comics.
636,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires."
637,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
638,Conan leads a ragtag group of adventurers on a quest for a princess.
639,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home."
640,A dangerous blizzard hits an isolated town and brings along a mysterious stranger intent on terrorizing people for his own desires.
641,"A family moves to a small town into a house in which terrible atrocities have taken place. But nobody seems to notice except for Pat, who's convinced she's either depressed or possessed--turns out, the symptoms are exactly the same."
642,"A young girl discovers a secret map to the dreamworld of Slumberland, and with the help of an eccentric outlaw, she traverses dreams and flees nightmares, with the hope that she will be able to see her late father again."
643,"A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true."
644,Sequel of Avatar: The Way of Water (2022). The plot is unknown.
645,"After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends."
646,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
647,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."
648,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.
649,"In a magical world full of technological advances, elven brothers Ian and Barley Lightfoot set out on an adventure to resurrect their late father for a day."
650,"Fionna, her best friend Cake and the former Ice King, Simon Petrikov, embark on an adventure through the multiverse, dodging new threats and making self-discoveries along the way."
651,"Lucy, a girl with psychic abilities, joins two boys, Anthony and George, at the ghost-hunting agency Lockwood and Co. to fight the deadly spirits plaguing London, doing their best to save the day without any adult supervision."
652,A younger sister wishes to switch places with her popular older sister and the two bickering siblings awaken to find the wish has come true.
653,"A man is determined to win the neighborhood's annual Christmas decorating contest. He makes a pact with an elf to help him win--and the elf casts a spell that brings the 12 days of Christmas to life, which brings unexpected chaos to town."
654,"After living 250 years in this world, Augusto Pinochet, who is not dead but an aged vampire, decides to die once and for all."
655,An American family fulfills their dream of moving back after inheriting a remote cabin in the mountains of Norway.
656,"At the end of the century, Satan visits New York in search of a bride. It's up to an ex-cop who now runs an elite security outfit to stop him."
657,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan."
658,Two bored children have their lives turned upside down when a talking cat comes to visit them.
659,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
660,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true."
661,A squad of prisoners and their guards are sent to investigate a mysterious island. They get stranded there and must rely on each other to survive the island's mysterious and monstrous residents.
662,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
663,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns."
664,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job."
665,"The rich Collins family of Collinsport, Maine is tormented by strange occurrences."
666,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
667,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.
668,Teenage superheroes strive to prove themselves as members of the Justice League.
669,"Follows a half human and half werewolf, as she finally finds a place where she fits, but, when a devious plan to destroy Monster High threatens to reveal her identity, she must learn to embrace her true monster heart and save the day."
670,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
671,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
672,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners."
673,"A boy genius and his comrades travel to different parallel universes, trying to find their way back home."
674,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.
675,"An unlucky girl meets an undead guy. The two work together well with their super abilities, but discover a conspiracy involving superhumans."
676,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
677,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings."
678,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play."
679,"In a small Midwestern town, a deadly annual ritual unfolds when the mythical nightmare, Sawtooth Jack, rises from the cornfields and challenges the town’s teenage boys in a bloody battle of survival."
680,"A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life."
681,An apocalyptic thriller that takes place in a time in which infectious diseases have become the new normal.
682,"A group of superhuman warriors who once fought together to end the reign of a demon king, now fight each other to see who is the strongest warrior."
683,"A samurai, sent through time, fights to return home and save the world."
684,A Chicago playwright uses self-hypnosis to travel back in time and meet the actress whose vintage portrait hangs in a grand hotel.
685,"Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school."
686,A dog looks to discover his purpose in life over the course of several lifetimes and owners.
687,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power."
688,"Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul."
689,"As they enter sophomore year at Monster High, Clawdeen Wolf, Draculaura and Frankie Stein face new students, new powers, and an even bigger threat that could not only tear their friendship apart, but could change the world forever."
690,"Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart."
691,"When The Sandman is pulled from his realm and imprisoned on Earth, he languishes for decades before finally escaping."
692,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.
693,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor, a galaxy-spanning, third-person, action-adventure game."
694,"When a succubus finds it difficult to adapt with her unusual traits inspite of being born in a human family, she sets off on a journey to find out the truth of her origin."
695,The adventures of the famous sailor man and his friends in the seaside town of Sweethaven.
696,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game."
697,A young woman finds her already unstable life rocked by the presence of a rambunctious imaginary friend from childhood.
698,"The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City."
699,"The Assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of Phil Tippett, the world's preeminent stop-motion animator."
700,Two brothers find themselves lost in a mysterious land and try to find their way home.
701,"A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them."
702,"After tragedy strikes, a grieving father discovers an ancient burial ground behind his home with the power to raise the dead."
703,Genius teenage inventor Riri Williams creates the most advanced suit of armor since Iron Man.
704,"When Cpt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom."
705,"Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world."
706,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.
707,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie."
708,A secret family of four-inch people living inside the walls of a house must save their home from an evil real estate developer.
709,A cursed girl and a mysterious man join forces to hunt down an evil witch.
710,"Series of adventures, war, and evil that occur throughout the history of the Four Lands."
711,"Out to avenge his mother's death, a college student pledges to a secret order and lands in a war between werewolves and practitioners of dark magic."
712,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom."
713,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
714,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself."
715,"In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense."
716,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization."
717,A young solicitor travels to a remote village where he discovers that the vengeful ghost of a scorned woman is terrorizing the locals.
718,A group of inept amateur superheroes must try to save the day when a supervillain threatens to destroy a major superhero and the city.
719,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign."
720,"For a cool high-school kid and his friends, thwarting authority figures and other enemies is never a problem."
721,"Dr Henry Morgan, a medical examiner, works with his partner Detective Jo Martinez, to solve criminal cases. Along the way, he tries to uncover the mystery to his 200-year-old immortality."
722,"A probationary angel, sent back to Earth, teams with an ex-cop to help people."
723,"When Liv moves to London, she meets a mysterious group of boys who pull her into the world of dream-travel. She and her band of dream-wanderers conduct a ritual to make their biggest dream come true, but it demands the gravest sacrifice."
724,A group of archaeologists and the black market of historical artifacts.
725,"When a mother is hit by a rare condition that sees her lift off the ground at a slow but ever increasing rate, her husband and daughter are forced to come to terms with losing her."
726,"Jin Wang is an average teenager balancing high school and home life. When he meets a new foreign student on the first day of school, even more worlds collide as Jin is unwittingly entangled in a battle with Chinese mythological gods."
727,Group of people find themselves trapped in States from Zombies.
728,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
729,A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.
730,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
731,"The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him."
732,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.
733,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
734,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail."
735,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors."
736,Plot Unknown. Sequel to The Old Guard (2020).
737,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment."
738,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run."
739,The door of time opens between the swordsman who wants to seize the legendary divine sword at the end of the Goryeo Dynasty and those who chase after an alien prisoner imprisoned in a human body in 2022.
740,"The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus."
741,Flighty teenage girl Buffy Summers learns that she is her generation's destined battler of vampires.
742,A young boy attempts to convince a woman that he is her dead husband reborn.
743,A coastal town known for its legend of once being home to mermaids is turned upside down when a mysterious girl appears and begins wreaking havoc.
744,"Two witch sisters, raised by their eccentric aunts in a small town, face closed-minded prejudice and a curse which threatens to prevent them ever finding lasting love."
745,"A pastry chef with the power to bring dead people back to life solves murder mysteries with his resurrected childhood sweetheart, a cynical private investigator, and a lovesick waitress."
746,"The ancient war between humans and a race of giants is reignited when Jack, a young farmhand fighting for a kingdom and the love of a princess, opens a gateway between the two worlds."
747,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest's past, they become a target of the CIA."
748,"Set during the late 1800s, a newly enrolled student at Hogwarts discovers that they possess the unusual ability to perceive and master Ancient Magic, becoming the key to an old secret that threatens to tear the wizarding world apart."
749,"Follows the lives of three sisters who, after the tragic death of their mother, discover they are powerful witches."
750,"Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future."
751,"When the Hardy boys, Frank and Joe and their father, Fenton arrive in Bridgeport they set out to uncover the truth behind the recent tragedy that has changed their lives, and in doing so, uncover something much more sinister."
752,Three magazine employees head out on an assignment to interview a guy who placed a classified advertisement seeking a companion for time travel.
753,Knuckles the Echidna teaches deputy Wade Whipple the techniques of the Echidna warrior.
754,"Twenty years after vanquishing the wicked queen Bavmorda, the sorcerer Willow Ufgood leads a group of misfits on a dangerous rescue mission into the unknown."
755,"More than a thousand years before the events of ""The Witcher,"" seven outcasts in an Elven world join forces in a quest against an all-powerful empire."
756,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake."
757,"In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love."
758,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
759,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
760,The plot is unknown.
761,"Follow the adventures of Haru, a concierge at the Pokémon Resort as she interacts with the Pokémon and their visiting owners."
762,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures."
763,"Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin."
764,"In an alternate present-day version of Oakland, telemarketer Cassius Green discovers a magical key to professional success, propelling him into a universe of greed."
765,"A writer indulging in all that Los Angeles and Las Vegas have to offer, undertakes a search for love and self via a series of adventures with six different women."
766,The fearless warrior Red Sonja sets out to avenge her family's murder and rid her kingdom from the tyrannical rule of evil Queen Gedren.
767,"Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process."
768,"Jon Arbuckle buys a second pet, a dog named Odie. However, Odie is then abducted and it is up to Jon's cat, Garfield, to find and rescue the canine."
769,"After a young couple take in their two nieces, they suspect that a supernatural spirit named Mama has latched onto their family."
770,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered."
771,"In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past."
772,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck; his temperamental nephew Donald Duck; grandnephews Huey, Dewey, and Louie; Launchpad McQuack; and Mrs. Beakley and her granddaughter Webby."
773,"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils."
774,"A werewolf, a vampire, and a ghost try to live together and get along."
775,Follows Atsushi Nakajima as he joins the Armed Detective Agency in battling the Port Mafia and other superhuman threats to public safety.
776,"A coming-of-age fairy tale set between modern-day Italy and an imaginary realm just beyond, Wonderwell follows Violet, a naive and inquisitive 12 year-old-girl, on a thrilling journey that transforms her world forever."
777,"A group of guardians are tasked with protecting a messenger who must deliver vital information to their king. On their journey through an ancient land, they face a battle filled with plagues, dark magic and vile monsters."
778,"A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways."
779,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures."
780,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and evil is taking place. She bands together with a ragtag group of characters to save their world--and ours.
781,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot."
782,Guts is haunted by demons who are attracted to him because of a demonic mark on his neck.
783,"Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?"
784,"Ordinary teenager Marinette's life in Paris goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city."
785,"A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals."
786,"Set in an alternate New York City, a father and husband searches through a magical world for his abducted son and missing wife."
787,"Battling demons and other creatures with her unique abilities and a posse of dysfunctional allies, Wyatt Earp's great great-granddaughter Wynonna is the only thing that can bring the paranormal to justice."
788,Three angels are sent to Earth to tell depressed and troubled people that God loves them and hasn't forgotten them.
789,"Scott Calvin is about to turn 65. Realizing that he can't be Santa forever, he sets out to find a suitable replacement Santa while preparing his family for a new life adventure south of the North Pole."
