,romance
509,"Babi discovers a betrayal by her long-term partner and decides to embark on a new adventure in life. On this journey, she meets judge Marco and they begin to live a story permeated by a lot of sexual tension."
510,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
511,The goings-on in the life of a successful African-American family.
512,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
513,"In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor."
514,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
515,"Willa and Bill are ex-lovers that will see each other for the first time in years when they both find themselves snowed in, in-transit, at an airport overnight."
516,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
517,"Follows the escapades and relationships of a group of neighbors living in Gulfhaven, Florida."
518,Revival of the TV series centering on a new generation of New York private school teens using social media to spread gossip.
519,"A mild-mannered guy, who is married to a monstrous woman, meets the woman of his dreams, and schemes to find a way to be with her."
520,"Terry feels discriminated against when the summer jobs at the Sun Tribune go to two guys. She decides to do something about it. She dresses like a guy and gets a haircut. Will students at the other high school notice? Girls notice ""him""."
521,"Laura is a 19-year-old university freshman who desperately wants to do well in school. She works a part-time job but cannot make ends meet. One evening in which she is short of funds, she answers a personal ad online by ""Joe,"" 57, who seeks a female student for ""tender moments."" The pay is 100 euros per hour. Laura pledges to do this just once, and three days later, she goes to a hotel room with Joe. And then her spiral begins."
522,Follows the awkward experiences and racy tribulations of a modern-day African-American woman.
523,"When attending their son's college graduation, a couple reignite the spark in their relationship. But the complicated fact is they're divorced and he's remarried."
524,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
525,A young man is reunited with a mermaid he briefly encountered as a boy and falls in love with her without knowing her secret.
526,"A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking."
527,"In a not-so-distant future, tech giant Pegazus offers couples the opportunity to share their pregnancies via detachable artificial wombs or pods. And so begins Rachel and Alvy's wild ride to parenthood in this brave new world."
528,"Fran, who likes to think about dying, makes the new guy at work laugh, which leads to dating and more. Now the only thing standing in their way is Fran herself."
529,A young girl on the threshold of her teen years finds her life turning upside down when she is accompanied by an unlikely friend.
530,"Single hopefuls looking for love complete tasks, couple off and get voted out week by week. Packed full of drama."
531,A teenage girl's secret love letters are exposed and wreak havoc on her love life.
532,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World."
533,A high school teacher meets his match in an over-achieving student politician.
534,"Mary loves John her entire life. After years of marriage, John's priorities change, straining their relationship and leading to a tragic accident that takes Mary's life. An extraordinary proposition allows John to rewind time."
535,"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
536,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
537,"Divorced contractor Frank Lambert and widowed beautician Carol Foster meet, fall in love and quickly get married. Both have three children and when the families all move in together the kids and parents have a lot of learning to do."
538,"Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
539,"Lucy Honeychurch (Helena Bonham Carter) shares a brief romance with George Emerson in Florence. Yet as she tries to move on with her life and look for marriage elsewhere, can she truly forget the events of that summer?"
540,"While protecting an Amish boy - who is the sole witness to a brutal murder - and his mother, a detective is forced to seek refuge within their community when his own life is threatened."
541,"A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles."
542,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."
543,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.
544,A middle-aged college professor becomes infatuated with a 14-year-old girl.
545,"Three different, yet equally relentless women vie for the throne in 15th-century England."
546,"On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be."
547,"In a desert dystopia, a young woman is kidnapped by cannibals."
548,"A guy proposes to his girlfriend, who drops dead. His BFF tries to get him to date other women but he only talks about his dead big love. At a diner he proposes to a cute waitress just to get his BFF off his back. She says yes."
549,"A single mom at war with her son is trying to find a hobby for him. One day, she rescues a guitar from a dumpster."
550,"This spinoff of ""The Oval"" follows Ruth Truesdale as she is forced to play nice with a scandalous, religious cult of powerful, sex-crazed fanatics in the hope of freeing herself and her daughter."
551,"A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
552,A hopelessly romantic Chicago Transit Authority ticket booth operator is mistaken for the fiancée of a comatose patient.
553,Two youngsters reeling from bad breakups connect over an eventful day in South London.
554,"In this spin-off of Friends (1994), Joey Tribbiani moves to Los Angeles to pursue his acting career."
555,A talented New York City bartender takes a job at a bar in Jamaica and falls in love.
556,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.
557,"At a home for retired musicians, the annual concert to celebrate Composer Giuseppe Verdi's birthday is disrupted by the arrival of Jean (Dame Maggie Smith), an eternal diva and the former wife of one of the residents."
558,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
559,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.
560,"When Whitney's father is injured, she returns home to help run the financially troubled family Golf Course. There she meets Austin, handsome course pro, and reluctantly enters the annual tournament for a shot at winning the purse."
561,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
562,"In 1667, 28-year-old all-powerful king of France, Louis XIV, decides to build the greatest palace in the world - Versailles. But drained budget, affairs and political intrigues complicate things."
563,"Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model."
564,Australian soap opera exploring the lives and relationships of the residents of Ramsay Street in a suburb of Melbourne called Erinsborough.
565,"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country."
566,Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.
567,"In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
568,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
569,"Louisa Durrell raises her four children single-handedly after her husband's death. Following a financial crisis, the family moves to the Greek island of Corfu and tries to adapt to life there."
570,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy."
571,A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.
572,"After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old."
573,An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.
574,A shallow man falls in love with a 300-pound woman because of her inner beauty.
575,"Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business."
576,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
577,Socially frustrated Barry Egan calls a phone-sex line to curb his loneliness. Little does he know it will land him in deep trouble and will jeopardize his burgeoning romance with the mysterious Lena.
578,Gary is an emotional wreck and struggles to provide for his daughter since the death of his wife. Mary has a secret she can't bring herself to share with anyone. The universe brought these two together for a reason.
579,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland."
580,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
581,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife."
582,"A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
583,"City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
584,"An unpredictable fantasy romance between a woman living under a curse that causes her to turn into a dog when kissed, and the only one who can help her overcome the curse is a man who is afraid of dogs."
585,An American guy falls in love with his Nigerian nurse.
586,"The Brothers Grimm arrive at the home of a wealthy Grande Dame who speaks of the many legends surrounding the fable of the cinder girl before telling the ""true"" story of her ancestor."
587,"A bandit kidnaps a Marshal who has seen a map showing a gold vein on Indian lands, but other groups are looking for it too, while the Apache try to keep the secret location undisturbed."
588,"A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact."
589,Harkin Banks heads to skiing championships in California. A teen runaway tags along as he parties and competes with friends and foes.
590,The big-screen adaptation of Perry's stage play about the trials of marriage and what happens to one family when a sexy young temptress arrives on the scene.
591,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
592,"Honor's sole focus is getting into Harvard. Willing to do whatever it takes, Honor concocts a plan to take down her top three competitors, until things take a turn when she unexpectedly falls for her biggest competition."
593,Emma and Dexter meet for the first time on the night of their graduation. Tomorrow they must go their separate ways.
594,"A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair."
595,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war."
596,"The workplace sitcom ""NewsRadio"" explores the office politics and interpersonal relationships among the staff of WNYX NewsRadio, New York's #2 news radio station."
597,A troubled college professor becomes obsessed with the idea that his emotionally distant wife is having an affair with his invalid father.
598,"A depressed musician reunites with his lover. However, their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister."
599,"In Los Angeles, Patti Stanger runs an agency that pairs millionaires with the men and women of their dreams."
600,"A healing melodrama about the fate of Cha Jin-woo, a deaf person who is used to express emotions through pictures instead of words, and Jeong Moo-eun, who expresses her heart with her voice."
601,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
602,Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.
603,"An 18 year-old orphaned girl wants to travel to Europe to track down her biological mother, so when she meets a kind-hearted young man reeling from the guilt of a fatal accident, she convinces him to accompany her on the journey."
604,"A group of friends, just out of college, struggle with adulthood."
605,"Now it's 1995, Leia Forman is visiting her grandparents for the summer where she bonds with a new generation of Point Place, WI, kids under the watchful eye of Kitty and the stern glare of Red."
606,"Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé."
607,"When Keith goes out with Amanda, the girl of his dreams, Amanda's ex-boyfriend plans to get back at Keith. Meanwhile, Keith's best friend, tomboy Watts, realizes she has feelings for Keith."
608,"An unexpected pregnancy complicates the lives of two families. The series centers around Oly, an ambitious and high-achieving teenage girl who has a surprise baby."
609,"Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him."
610,Spanish princess Catherine of Aragon navigates the royal lineage of England with an eye on the throne.
611,Jim is the dorky son of a local cement contractor who lives at home and has no direction. Josie is the gorgeous daughter of a wealthy businessman who dreams of leaving town. They find they have a lot in common.
612,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
613,"The story of the life of Gia Carangi, a top fashion model from the late 1970s, from her meteoric rise to the forefront of the modeling industry, to her untimely death."
614,"Aile is a story of Aslan who is the son of a large family, runs a nightclub. An extremely shrewd man. He is a dark and mysterious character. Psychologist Devin will enter the life of this difficult man and it becomes intense."
615,"The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
616,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
617,"This show chronicles the lives, loves, happiness, and heartbreaks of the residents of Summer Bay, a small coastal town just outside of Sydney, New South Wales, Australia."
618,"Journalist, Fred Flarsky, reunites with his childhood crush, Charlotte Field; now one of the most influential women in the world. As she prepares to run for president, Charlotte hires Fred as her speechwriter, and sparks fly."
619,In the midst of the wedding princess Miroslava is kidnapped by a dragon and carried away into his castle on the remote island.
620,"A billionaire offers $1,000,000 to a young married couple for one night with the wife."
621,A woman becomes involved with a man she barely knows. Complications develop during their sexual escapades.
622,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money."
623,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
624,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.
625,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
626,"After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit."
627,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.
628,"Amid a tense inheritance fight, a charming heir clashes with his hardworking employee who's known for her irresistible smile, which he cannot stand."
629,"While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie."
630,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
631,A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.
632,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
633,"The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
634,"Duncan MacLeod is Immortal, and must live in modern society, concealing his true nature while fighting other Immortals."
635,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.
636,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.
637,"Follows two neighbours at tough times of their lives: Anna, has grown to be apathetic towards love, and Sam, a recently separated father. In their mid-40s, they embark in romance following drastic life events that unite them."
638,"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her fifteen-year-old students. However, her intentions with this new ""friend"" also go well beyond a platonic friendship."
639,A soap opera set in a fictional village in the Yorkshire Dales.
640,An urban dark fantasy drama about a gumiho who settles into the city and a producer who is after it.
641,"A television show centered around a macho everyman, his loving wife, and their three precocious children."
642,"Young lovers, and soon to wed, Hero and Claudio conspire to get verbal sparring partners and confirmed singles, Benedick and Beatrice, to wed as well."
643,Two teenage girls' lives are turned upside down when they find out they were switched at birth.
644,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
645,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart."
646,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos."
647,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
648,"Just before Christmas, Mary Ann adopts a baby girl to raise alone. She and the infant spend the Christmas stuck in Bethlehem, PA, due to bad weather. Her only choice when the inn is full is to stay with Joe, the brother of the innkeeper."
649,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
650,A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.
651,"Two melancholic Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents."
652,"In disguise as her friend, Ha-ri shows up to a blind date to scare him away. But plans go awry when he turns out to be her CEO - and makes a proposal."
653,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated."
654,"A beautiful Florida woman seduces a seedy lawyer, with the hidden agenda of having him kill her rich husband."
655,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.
656,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner."
657,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
658,"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together."
659,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world."
660,"David Marks, a real estate scion, is suspected of killing his wife Katie, who disappeared in 1982."
661,"An 18-year-old female amateur dancer who performs nightly at a dancing bar, and works as a welder during the day, dreams of joining the Pittsburgh ballet school."
662,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together."
663,"Fifteen years after a permanent global blackout, a group of revolutionaries seek to drive out a tyrannical militia that's taken over the former United States of America."
664,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape."
665,A group of single black females from different walks of life who bond over their one common thread: why am I single?
666,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.
667,A new love story unfolds when teen matchmaker Kitty reunites with her long-distance boyfriend at the same boarding school attended by her late mother.
668,"Two rock-'n-rolling teens, on the verge of failing their class, set out on a quest to make the ultimate school history report after being presented with a time machine."
669,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality."
670,"Thinking they're about to crash, Emma spills her secrets to a stranger on a plane. At least, she thought he was a stranger...Until she later meets Jack, her company's young CEO, who now knows every humiliating detail about her. Based on the blockbuster NYT bestseller."
671,A ruthless editor tries to get his top reporter to cover one more crime story before retirement.
672,"In 1939, an Englishwoman inherits a sprawling ranch in northern Australia and reluctantly makes a pact with a stockman to drive 2000 head of cattle over unforgiving landscape."
673,A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965.
674,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
675,"Two young people meet. A fateful encounter - the proverbial love at first sight. He is Emperor Franz Joseph of Austria-Hungary, she is Elisabeth von Wittelsbach, Princess of Bavaria and the sister of the woman Franz is to marry."
676,"A young girl, fresh out of high school, follows her high school crush to college to be near him."
677,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
678,"Alice works for ""Rebelle"" magazine, where she needs to let her hair down to get a promotion. When Balthazar returns a lost USB to Alice, the appearance of dating someone half her age helps her. Does it get real?"
679,"Cursed from childhood to fail at romance, Betty's relationships have always ended in disaster. But when she meets Alex, she's tempted to try once more. Can true love prevail over a curse?"
680,A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.
681,"In New Jersey, Ramy, son of Egyptian immigrants, begins a spiritual journey, divided between his Muslim community, God and his friends who see endless possibilities."
682,"Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her."
683,The story of the legendary British outlaw portrayed with the characters as anthropomorphic animals.
684,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
685,"It follows Lucy as she's hired to write the script for a remake of a holiday movie. She joins a tour of the grounds and when she knocks an hourglass over, she finds herself transported back in time to 1946."
686,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son."
687,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
688,A group of best friends creating a webcast while grappling with everyday problems and adventures.
689,A cupid from 500 years awaiting his release meets a woman born with no red thread of love for all her incarnations. What would happen when they take an interest in each other amidst a series of serial killings and a complicated past life?
690,Four lifelong friends have their lives forever changed after reading 50 Shades of Grey in their monthly book club.
691,"A has-been rock star falls in love with a young, up-and-coming songstress."
692,"Cate's sister Rebecca had stolen her boyfriend Ethan and stripped her of her inheritance. Fueled by desire for revenge, a drunken Cate decided to seduce Ethan's handsome uncle Shaun who later was ignited by Cate and fell madly in love."
693,"A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together."
694,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.
695,"After a teenage delinquent is killed while saving a child's life from an approaching car, the rulers of the underworld send him back to become an ""Underworld Detective"" investigating demons apparitions in the human world."
696,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with."
697,"Michelle and Allen are in a relationship. They decide to invite their parents to finally meet. Turns out, the parents already know one another well, which leads to some differing opinions about marriage."
698,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
699,"In the arid 1920s Australian Outback, a Catholic priest and the beautiful niece of a vast sheep station owner stand powerless before God's will, tormented by desire. How far are they willing to go in the name of love?"
700,"An overworked mother and her daughter did not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
701,"A young newlywed arrives at her husband's imposing family estate on a windswept English coast and finds herself battling the shadow of his first wife, Rebecca, whose legacy lives on in the house long after her death."
702,"Jenna is a pregnant, unhappily married waitress in the deep south. She meets a newcomer to her town and falls into an unlikely relationship as a last attempt at happiness."
703,"A lonely Turkish girl meets a boy who lives in a small town of France. Despite living far apart, they bond over shared quirks. Through late night chats they become close, overcoming physical distance to find friendship."
704,A man raised in the jungle by apes falls in love with a wealthy American heiress.
705,"In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate."
706,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
707,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home."
708,"Avery, a teenager with a tendency towards perfectionism, enlists her friend Larson to help her prepare for her first time with her long-distance boyfriend."
709,"In Washington Heights, a sympathetic New York bodega owner saves every penny every day as he imagines and sings about a better life."
710,"A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true."
711,"Three stories revolve around the love lives of an adulterous woman, a checkout girl and a single mother."
712,Modernization of Charles Dickens' classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.
713,"A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
714,"Camila creates a sexy profile on the online dating app Spice looking for the man of her dreams. But her dreams quickly turn into nightmares, and Camila ends up falling into a web of sex, lies, and deception."
715,"A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself""."
716,A maid living in post-World War I England secretly plans to meet with the man she loves before he leaves to marry another woman.
717,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
718,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
719,"Parental disapproval of a passionate romance between two teenagers leads to arguments, circumstance, insanity and tragedy."
720,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
721,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend."
722,"In pre-revolutionary Russia, a Jewish peasant with traditional values contends with marrying off three of his daughters with modern romantic ideals while growing anti-Semitic sentiment threatens his village."
723,"Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border."
724,"A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves."
725,"When two young members of feuding families meet, forbidden love ensues."
726,"In the fifteenth century, Pope Alexander VI tries to control all power in Italy with the help of his several sons, through murder, intrigue, war, and marriage alliances."
727,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true."
728,"The story of how the novel ""Mrs. Dalloway"" affects three generations of women, all of whom, in one way or another, have had to deal with suicide in their lives."
729,"In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game."
730,The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.
731,"A 15-year-old girl and her trials and tribulations of being a teenager and dealing with friends, guys, parents, and school."
732,Drea and Eleanor agree to go after one another's bullies.
733,Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.
734,"A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand."
735,"The rich Collins family of Collinsport, Maine is tormented by strange occurrences."
736,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
737,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life."
738,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
739,Mad About You centers on the trials and tribulations of a married couple living in New York.
740,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.
741,Teenage superheroes strive to prove themselves as members of the Justice League.
742,"A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment, and other things they were hoping to avoid."
743,"Two Dublin college students, Frances and Bobbi, and the strange and unexpected connection they forge with married couple, Melissa and Nick."
744,"Showgirls Lorelei Lee and Dorothy Shaw travel to Paris, pursued by a private detective hired by the suspicious father of Lorelei's fiancé, as well as a rich, enamored old man and many other doting admirers."
745,"Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?"
746,We follow the exploits and cases of defense attorneys of a Boston law firm. Bobby Donnell is the senior defense attorney and founder of the firm.
747,"Set in 1960s India, Archie and the gang navigate romance, friendship and the future of Riverdale as developers threaten to destroy a beloved park."
748,Three teenage girls come of age while working at a pizza parlor in the Connecticut town of Mystic.
749,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.
750,Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.
751,"After a disease kills 98% of children, the survivors develop powers and are declared a threat. 16-year-old Ruby, escapes the government facility and joins a group of rebel teenagers ready to fight the government forces out to get them."
752,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less-conventional approach to modern dating."
753,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
754,"A woman, along with her lover, plans to con a rich man by marrying him, earning his trust, and then running away with all his money. Everything goes as planned until she falls in love with him."
755,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
756,"A dramatization of the life of lesbian trailblazer, voracious learner, and cryptic diarist Anne Lister."
